,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,28,82754
1,ImgROI_0_Tile_00_Date_20240608.tif,25,81664
2,ImgROI_0_Tile_00_Date_20240613.tif,33,85613
3,ImgROI_0_Tile_00_Date_20240618.tif,33,86850
4,ImgROI_0_Tile_00_Date_20240623.tif,0,0
5,ImgROI_0_Tile_00_Date_20240628.tif,33,86242
6,ImgROI_0_Tile_00_Date_20240703.tif,0,0
7,ImgROI_0_Tile_00_Date_20240708.tif,33,85716
8,ImgROI_0_Tile_00_Date_20240713.tif,30,84681
9,ImgROI_0_Tile_00_Date_20240718.tif,25,84292
10,ImgROI_0_Tile_00_Date_20240723.tif,35,87131
11,ImgROI_0_Tile_00_Date_20240728.tif,28,89138
12,ImgROI_0_Tile_00_Date_20240802.tif,36,86969
13,ImgROI_0_Tile_00_Date_20240807.tif,36,89083
14,ImgROI_0_Tile_00_Date_20240812.tif,16,11049
15,ImgROI_0_Tile_00_Date_20240817.tif,36,120352
16,ImgROI_0_Tile_00_Date_20240822.tif,19,7153
17,ImgROI_0_Tile_00_Date_20240827.tif,32,108643
18,ImgROI_0_Tile_00_Date_20240901.tif,37,107998
19,ImgROI_0_Tile_00_Date_20240906.tif,35,112000
20,ImgROI_0_Tile_00_Date_20240911.tif,36,108771
21,ImgROI_0_Tile_00_Date_20240916.tif,33,112351
22,ImgROI_0_Tile_00_Date_20240921.tif,30,115280
23,ImgROI_0_Tile_00_Date_20240926.tif,34,112888
24,ImgROI_0_Tile_01_Date_20240603.tif,58,50017
25,ImgROI_0_Tile_01_Date_20240608.tif,37,20210
26,ImgROI_0_Tile_01_Date_20240613.tif,37,20768
27,ImgROI_0_Tile_01_Date_20240618.tif,58,59624
28,ImgROI_0_Tile_01_Date_20240623.tif,0,0
29,ImgROI_0_Tile_01_Date_20240628.tif,73,76017
30,ImgROI_0_Tile_01_Date_20240703.tif,1,85
31,ImgROI_0_Tile_01_Date_20240708.tif,76,86421
32,ImgROI_0_Tile_01_Date_20240713.tif,76,68520
33,ImgROI_0_Tile_01_Date_20240718.tif,40,49495
34,ImgROI_0_Tile_01_Date_20240723.tif,81,91698
35,ImgROI_0_Tile_01_Date_20240728.tif,77,61286
36,ImgROI_0_Tile_01_Date_20240802.tif,78,69769
37,ImgROI_0_Tile_01_Date_20240807.tif,82,77197
38,ImgROI_0_Tile_01_Date_20240812.tif,41,27632
39,ImgROI_0_Tile_01_Date_20240817.tif,67,66653
40,ImgROI_0_Tile_01_Date_20240822.tif,66,61145
41,ImgROI_0_Tile_01_Date_20240827.tif,65,66545
42,ImgROI_0_Tile_01_Date_20240901.tif,78,64626
43,ImgROI_0_Tile_01_Date_20240906.tif,84,72809
44,ImgROI_0_Tile_01_Date_20240911.tif,86,65473
45,ImgROI_0_Tile_01_Date_20240916.tif,82,65447
46,ImgROI_0_Tile_01_Date_20240921.tif,78,71658
47,ImgROI_0_Tile_01_Date_20240926.tif,81,83486
48,ImgROI_0_Tile_02_Date_20240603.tif,99,96115
49,ImgROI_0_Tile_02_Date_20240608.tif,70,34914
50,ImgROI_0_Tile_02_Date_20240613.tif,115,111944
51,ImgROI_0_Tile_02_Date_20240618.tif,103,98219
52,ImgROI_0_Tile_02_Date_20240623.tif,0,0
53,ImgROI_0_Tile_02_Date_20240628.tif,106,100245
54,ImgROI_0_Tile_02_Date_20240703.tif,1,539
55,ImgROI_0_Tile_02_Date_20240708.tif,106,125139
56,ImgROI_0_Tile_02_Date_20240713.tif,103,125407
57,ImgROI_0_Tile_02_Date_20240718.tif,101,130506
58,ImgROI_0_Tile_02_Date_20240723.tif,109,127646
59,ImgROI_0_Tile_02_Date_20240728.tif,63,53681
60,ImgROI_0_Tile_02_Date_20240802.tif,110,121592
61,ImgROI_0_Tile_02_Date_20240807.tif,113,128933
62,ImgROI_0_Tile_02_Date_20240812.tif,66,57507
63,ImgROI_0_Tile_02_Date_20240817.tif,108,124338
64,ImgROI_0_Tile_02_Date_20240822.tif,37,39172
65,ImgROI_0_Tile_02_Date_20240827.tif,105,129406
66,ImgROI_0_Tile_02_Date_20240901.tif,107,121613
67,ImgROI_0_Tile_02_Date_20240906.tif,110,133428
