,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,28,84163
1,ImgROI_0_Tile_00_Date_20240608.tif,25,77848
2,ImgROI_0_Tile_00_Date_20240613.tif,33,85613
3,ImgROI_0_Tile_00_Date_20240618.tif,33,86850
4,ImgROI_0_Tile_00_Date_20240623.tif,2,3941
5,ImgROI_0_Tile_00_Date_20240628.tif,33,86242
6,ImgROI_0_Tile_00_Date_20240703.tif,12,6529
7,ImgROI_0_Tile_00_Date_20240708.tif,33,85716
8,ImgROI_0_Tile_00_Date_20240713.tif,31,84173
9,ImgROI_0_Tile_00_Date_20240718.tif,27,69224
10,ImgROI_0_Tile_00_Date_20240723.tif,35,87131
11,ImgROI_0_Tile_00_Date_20240728.tif,33,82934
12,ImgROI_0_Tile_00_Date_20240802.tif,36,86969
13,ImgROI_0_Tile_00_Date_20240807.tif,36,89083
14,ImgROI_0_Tile_00_Date_20240812.tif,18,8708
15,ImgROI_0_Tile_00_Date_20240817.tif,36,120352
16,ImgROI_0_Tile_00_Date_20240822.tif,21,53608
17,ImgROI_0_Tile_00_Date_20240827.tif,32,108643
18,ImgROI_0_Tile_00_Date_20240901.tif,37,107998
19,ImgROI_0_Tile_00_Date_20240906.tif,34,109822
20,ImgROI_0_Tile_00_Date_20240911.tif,36,108771
21,ImgROI_0_Tile_00_Date_20240916.tif,33,112351
22,ImgROI_0_Tile_00_Date_20240921.tif,30,115280
23,ImgROI_0_Tile_00_Date_20240926.tif,34,112888
24,ImgROI_0_Tile_01_Date_20240603.tif,58,102993
25,ImgROI_0_Tile_01_Date_20240608.tif,45,71027
26,ImgROI_0_Tile_01_Date_20240613.tif,38,22917
27,ImgROI_0_Tile_01_Date_20240618.tif,67,111383
28,ImgROI_0_Tile_01_Date_20240623.tif,7,17425
29,ImgROI_0_Tile_01_Date_20240628.tif,73,76017
30,ImgROI_0_Tile_01_Date_20240703.tif,31,15603
31,ImgROI_0_Tile_01_Date_20240708.tif,76,86421
32,ImgROI_0_Tile_01_Date_20240713.tif,76,68520
33,ImgROI_0_Tile_01_Date_20240718.tif,47,116401
34,ImgROI_0_Tile_01_Date_20240723.tif,81,91698
35,ImgROI_0_Tile_01_Date_20240728.tif,58,92909
36,ImgROI_0_Tile_01_Date_20240802.tif,78,69769
37,ImgROI_0_Tile_01_Date_20240807.tif,82,77197
38,ImgROI_0_Tile_01_Date_20240812.tif,54,81335
