name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_00_Date_20240603.tif,2.7816215379555103,2.7628208605085196,2.76343643087799,21,125367,0,0.0
ImgROI_1000_Tile_00_Date_20240603.tif,7.035135323637594,7.0786359850038645,7.119069244483421,15,13667,37690,14.38
ImgROI_1001_Tile_00_Date_20240603.tif,6.657724271924752,6.736443472840001,6.751603845625848,27,272015,0,0.0
ImgROI_1002_Tile_00_Date_20240603.tif,0.40965979232988514,0.46000536610986054,0.444871829327415,5,554,243103,92.74
ImgROI_1003_Tile_00_Date_20240603.tif,3.3249910912741703,3.4996692644014384,3.5182130892188512,40,108937,104406,39.83
ImgROI_1004_Tile_00_Date_20240603.tif,2.949251467227738,2.838174716682934,2.8239891142750433,22,250335,48016,18.32
ImgROI_1005_Tile_00_Date_20240603.tif,6.710188715530514,6.6410886025194245,6.711219530586205,35,269685,0,0.0
ImgROI_1006_Tile_00_Date_20240603.tif,2.277308427798571,2.2917323490209633,2.294775173516872,11,33498,209504,79.92
ImgROI_1007_Tile_00_Date_20240603.tif,4.3052810169315086,4.290829612127968,4.264519861827634,43,83260,136139,51.93
ImgROI_1008_Tile_00_Date_20240603.tif,6.936454682699396,6.9660491011979735,6.936132416669464,36,237234,85879,32.76
ImgROI_1009_Tile_00_Date_20240603.tif,7.9437262369029185,7.917898026072222,7.9271199696585795,68,269812,65333,24.92
ImgROI_100_Tile_00_Date_20240603.tif,6.415366784981346,6.423621758510533,6.356301682976051,208,492450,10202,3.89
ImgROI_1010_Tile_00_Date_20240603.tif,6.472856283942402,6.5168195016549175,6.466284198834921,43,348879,0,0.0
ImgROI_1011_Tile_00_Date_20240603.tif,6.813858088376642,6.810718879331455,6.771529820366133,6,18940,37354,14.25
ImgROI_1012_Tile_00_Date_20240603.tif,1.9079954720938042,1.9151001429677736,1.8655674089772887,21,37437,144995,55.31
ImgROI_1013_Tile_00_Date_20240603.tif,6.07188883361119,6.065725143289671,6.083007471005599,9,21917,6659,2.54
ImgROI_1014_Tile_00_Date_20240603.tif,7.29663881972669,7.302892419311377,7.066491220755622,32,48287,75834,28.93
ImgROI_1015_Tile_00_Date_20240603.tif,7.565556782365742,7.544414802643616,7.546093672118951,97,228792,35834,13.67
ImgROI_1016_Tile_00_Date_20240603.tif,7.110394602447868,7.109618077412446,7.106737796945429,60,127590,76633,29.23
ImgROI_1017_Tile_00_Date_20240603.tif,7.285719320590808,7.291244958477608,7.260195891987211,130,340313,0,0.0
ImgROI_1018_Tile_00_Date_20240603.tif,4.395893870945995,4.682857799593281,4.692818013988026,11,8810,163965,62.55
ImgROI_1019_Tile_00_Date_20240603.tif,1.7117998290421141,2.1265992953432997,2.427850213531857,58,271743,104454,39.85
ImgROI_101_Tile_00_Date_20240603.tif,3.7174664668524815,3.7301801027855883,3.8326751461773156,53,22846,108516,41.4
ImgROI_1020_Tile_00_Date_20240603.tif,2.2659410432003164,2.272170077376404,2.291386776699078,20,14166,40245,15.35
ImgROI_1021_Tile_00_Date_20240603.tif,1.7859816019160022,1.7616852826328098,1.767179604677621,75,67766,134833,51.43
ImgROI_1022_Tile_00_Date_20240603.tif,5.682669365014571,5.562894780364155,5.5895098770398315,175,167476,56654,21.61
ImgROI_1023_Tile_00_Date_20240603.tif,5.450593091570604,5.431657914610518,5.443787133054185,140,204877,67999,25.94
ImgROI_1024_Tile_00_Date_20240603.tif,6.992951288977327,6.952039837117936,6.93166695124271,308,292592,0,0.0
ImgROI_1025_Tile_00_Date_20240603.tif,7.061406073646746,7.065108457681912,7.15886822659753,109,286227,22661,8.64
