name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_00_Date_20240603.tif,7.833642073974848,7.832153314275863,7.852936273722229,45,32792,0,0.0
ImgROI_1000_Tile_00_Date_20240603.tif,7.035135323637594,7.0786359850038645,7.119069244483421,14,13738,37690,14.38
ImgROI_1001_Tile_00_Date_20240603.tif,6.657724271924752,6.736443472840001,6.751603845625848,29,272295,0,0.0
ImgROI_1002_Tile_00_Date_20240603.tif,3.7069572792574066,3.6640589845540856,3.6147834155816274,3,3299,243103,92.74
ImgROI_1003_Tile_00_Date_20240603.tif,4.934195438943256,4.887004628499066,4.956275914566398,40,65583,104406,39.83
ImgROI_1004_Tile_00_Date_20240603.tif,4.755901134020537,4.7577298425732915,4.759585673630215,24,270272,48016,18.32
ImgROI_1005_Tile_00_Date_20240603.tif,6.710188715530514,6.6410886025194245,6.711219530586205,35,269685,0,0.0
ImgROI_1006_Tile_00_Date_20240603.tif,2.746654506466323,2.764640065050056,2.785252426254014,3,50454,209504,79.92
ImgROI_1007_Tile_00_Date_20240603.tif,5.062910137782571,5.08065089932983,5.06186000844069,52,178007,136139,51.93
ImgROI_1008_Tile_00_Date_20240603.tif,7.019507889705092,7.0571017041796225,7.08885484814875,28,237423,85879,32.76
ImgROI_1009_Tile_00_Date_20240603.tif,7.9437262369029185,7.917898026072222,7.9271199696585795,52,375898,65333,24.92
ImgROI_100_Tile_00_Date_20240603.tif,7.819483100610996,7.519939849449156,7.327114733987327,214,300125,10202,3.89
ImgROI_1010_Tile_00_Date_20240603.tif,6.472856283942402,6.5168195016549175,6.466284198834921,43,348879,0,0.0
ImgROI_1011_Tile_00_Date_20240603.tif,6.813858088376642,6.810718879331455,6.771529820366133,2,436,37354,14.25
ImgROI_1012_Tile_00_Date_20240603.tif,2.7092135790958602,2.7542406983467065,2.851585373109547,25,47743,144995,55.31
ImgROI_1013_Tile_00_Date_20240603.tif,6.599281446878777,6.584906413361172,6.594526040824647,10,21874,6659,2.54
ImgROI_1014_Tile_00_Date_20240603.tif,7.570465549176813,7.584085594011438,7.615244524775415,41,87194,75834,28.93
ImgROI_1015_Tile_00_Date_20240603.tif,7.900821514470643,7.9202337991140555,7.916051262709389,94,216445,35834,13.67
ImgROI_1016_Tile_00_Date_20240603.tif,7.505090658566299,7.519600888376768,7.553377872961726,63,144676,76633,29.23
ImgROI_1017_Tile_00_Date_20240603.tif,7.285719320590808,7.291244958477608,7.260195891987211,130,340313,0,0.0
ImgROI_1018_Tile_00_Date_20240603.tif,7.224200711410761,7.20531772485579,7.187488081536074,4,3554,163965,62.55
ImgROI_1019_Tile_00_Date_20240603.tif,2.774041735957092,2.8220017704868154,2.878570221437446,60,262213,104454,39.85
ImgROI_101_Tile_00_Date_20240603.tif,6.734330639389577,6.756517037570748,6.748784669038244,35,9672,108516,41.4
ImgROI_1020_Tile_00_Date_20240603.tif,6.263478648715184,6.268079644704329,6.260157102059161,31,23678,40245,15.35
ImgROI_1021_Tile_00_Date_20240603.tif,0.4903778839198158,0.48077183736892803,0.48598017070226135,80,70749,134833,51.43
ImgROI_1022_Tile_00_Date_20240603.tif,6.460219533467131,6.469864632579314,6.5049037205928935,177,205991,56654,21.61
ImgROI_1023_Tile_00_Date_20240603.tif,5.773987705259368,5.73117545924123,5.703989941630469,153,240755,67999,25.94
ImgROI_1024_Tile_00_Date_20240603.tif,6.992951288977327,6.952039837117936,6.93166695124271,308,292592,0,0.0
ImgROI_1025_Tile_00_Date_20240603.tif,7.030568660840418,7.043632726978755,7.138438554558868,100,252339,22661,8.64
ImgROI_1026_Tile_00_Date_20240603.tif,4.933530099930683,4.966623345644471,4.91230027193606,15,21727,125602,47.91
ImgROI_1027_Tile_00_Date_20240603.tif,3.4957063216931754,3.6004772360345583,3.636953033823953,56,88009,130051,49.61
ImgROI_1028_Tile_00_Date_20240603.tif,6.386417142591962,6.368837267852392,6.383263909207632,134,366979,0,0.0
ImgROI_1029_Tile_00_Date_20240603.tif,7.3216731876064705,7.333614064708743,7.39325223751837,76,179087,14983,5.72
ImgROI_102_Tile_00_Date_20240603.tif,7.8515377237170725,7.938479675192364,7.971073862800057,188,222282,0,0.0
ImgROI_1030_Tile_00_Date_20240603.tif,7.60068642669534,7.587005004656144,7.6264610734422265,208,330165,0,0.0
ImgROI_1031_Tile_00_Date_20240603.tif,7.8495255824331505,7.936446365295282,7.959360447877007,3,3403,234723,89.54
ImgROI_1032_Tile_00_Date_20240603.tif,6.58850128688362,6.6021178031413355,6.546908297026587,15,3957,164875,62.89
ImgROI_1033_Tile_00_Date_20240603.tif,0.7598962155194834,0.14442931469976591,0.051875962588491455,42,27177,221582,84.53
ImgROI_1034_Tile_00_Date_20240603.tif,4.048318360585711,4.084977106907507,4.087331272836319,154,265456,56998,21.74
ImgROI_1035_Tile_00_Date_20240603.tif,7.399692740389784,7.386706318878425,7.3951442683832225,17,8123,20332,7.76
ImgROI_1036_Tile_00_Date_20240603.tif,7.121166443300151,7.1459858276442025,7.150243963394762,423,312065,0,0.0
ImgROI_1037_Tile_00_Date_20240603.tif,7.00823617418503,7.043156568173062,6.9916247749479785,359,504411,28776,10.98
ImgROI_1038_Tile_00_Date_20240603.tif,6.249408203084097,6.168964023984118,6.136601790600105,254,380508,67009,25.56
ImgROI_1039_Tile_00_Date_20240603.tif,3.804312718085223,3.6325103712296447,3.488790270599118,140,86490,137123,52.31
ImgROI_103_Tile_00_Date_20240603.tif,8.060713124239832,8.048031556123055,8.093809798364635,179,246818,0,0.0
ImgROI_1040_Tile_00_Date_20240603.tif,8.027091940485924,8.092510327493306,8.09687382971551,362,153384,73881,28.18
ImgROI_1041_Tile_00_Date_20240603.tif,7.857888763934719,7.855157886176038,7.845119960418529,777,342337,0,0.0
ImgROI_1042_Tile_00_Date_20240603.tif,5.439432160754629,5.356521331697158,5.359953484350953,112,138670,142155,54.23
ImgROI_1043_Tile_00_Date_20240603.tif,7.262144547147654,7.241296748243471,7.273547561830062,442,194617,12253,4.67
ImgROI_1044_Tile_00_Date_20240603.tif,6.657797009621408,6.671979218279146,6.698171620736172,155,161535,142839,54.49
ImgROI_1045_Tile_00_Date_20240603.tif,5.611426637875441,5.601749112744727,5.589123304565868,40,68905,187711,71.61
ImgROI_1046_Tile_00_Date_20240603.tif,4.0488045138593405,4.064635889885446,4.08704988334362,83,106483,141885,54.12
ImgROI_1047_Tile_00_Date_20240603.tif,6.017169027046111,6.01479893282785,6.013252336874639,142,368614,69812,26.63
ImgROI_1048_Tile_00_Date_20240603.tif,7.44372002762395,7.441098740916793,7.462580860649695,317,394145,0,0.0
ImgROI_1049_Tile_00_Date_20240603.tif,6.626373532606065,6.705095204957122,6.868777975006801,206,437614,45117,17.21
ImgROI_104_Tile_00_Date_20240603.tif,4.160149158849985,4.1582232940175805,4.081304073718471,78,22652,115927,44.22
ImgROI_1050_Tile_00_Date_20240603.tif,6.961793494621677,6.590079328349325,6.310708625362907,3,926,231591,88.34
ImgROI_1051_Tile_00_Date_20240603.tif,6.14225334793699,5.909948380408781,5.900348931141949,58,57096,168108,64.13
ImgROI_1052_Tile_00_Date_20240603.tif,3.8933493300283333,3.8882444691653664,3.9296008699589597,110,109478,129247,49.3
ImgROI_1053_Tile_00_Date_20240603.tif,7.16267500518633,7.156357631879756,7.096180219394826,362,275736,23134,8.82
ImgROI_1054_Tile_00_Date_20240603.tif,8.074039502520241,8.075208060198948,8.069727331526003,476,385350,0,0.0
ImgROI_1055_Tile_00_Date_20240603.tif,7.49752112421923,7.461926350948373,7.487606426490381,169,122761,106652,40.68
ImgROI_1056_Tile_00_Date_20240603.tif,5.520580411284421,5.574358888257979,5.612732162322393,99,106598,123515,47.12
ImgROI_1057_Tile_00_Date_20240603.tif,7.176860688936671,7.121497094075625,7.112335609648916,389,278625,29704,11.33
ImgROI_1058_Tile_00_Date_20240603.tif,1.510847712663715,1.5262986199103625,1.5310049577929534,23,9350,225408,85.99
ImgROI_1059_Tile_00_Date_20240603.tif,7.514409087182618,7.473191524356145,7.428649142723963,574,369622,0,0.0
ImgROI_105_Tile_00_Date_20240603.tif,7.846153463985313,7.870418827919099,7.884101456379908,49,324838,0,0.0
ImgROI_1060_Tile_00_Date_20240603.tif,4.081519050402104,4.107500816093578,4.14898670437086,98,22937,147577,56.3
ImgROI_1061_Tile_00_Date_20240603.tif,7.632099006404789,7.615890854403479,7.604881336956476,471,227419,5328,2.03
ImgROI_1062_Tile_00_Date_20240603.tif,8.029062973551923,8.058164417487667,8.067060094622356,799,295053,0,0.0
ImgROI_1063_Tile_00_Date_20240603.tif,6.134581371799845,6.116723654712562,5.943690990814607,481,159250,44356,16.92
