name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_00_Date_20240603.tif,6.511144899292369,6.500724636385681,6.503619854308348,75,42383,0,0.0
ImgROI_1000_Tile_00_Date_20240603.tif,7.035135323637594,7.073681791986653,7.11721068135043,18,19682,37690,14.38
ImgROI_1001_Tile_00_Date_20240603.tif,6.657724271924752,6.736443472840001,6.751603845625848,26,270096,0,0.0
ImgROI_1002_Tile_00_Date_20240603.tif,2.0148905812657913,1.8053009847550043,1.794409672285473,14,7113,243103,92.74
ImgROI_1003_Tile_00_Date_20240603.tif,6.642757175995673,6.8344310426723744,6.8937113430760215,49,84935,104406,39.83
ImgROI_1004_Tile_00_Date_20240603.tif,4.479186389551413,4.276778794018387,4.309730304760188,22,264137,48016,18.32
ImgROI_1005_Tile_00_Date_20240603.tif,6.710188715530514,6.6410886025194245,6.711219530586205,35,269685,0,0.0
ImgROI_1006_Tile_00_Date_20240603.tif,2.821692968360711,2.84042413047812,2.862878237400379,10,46106,209504,79.92
ImgROI_1007_Tile_00_Date_20240603.tif,6.0169103745369155,6.020163802487663,5.956232335799851,39,53178,136139,51.93
ImgROI_1008_Tile_00_Date_20240603.tif,7.019507889705092,7.0571017041796225,7.08885484814875,34,65941,85879,32.76
ImgROI_1009_Tile_00_Date_20240603.tif,7.9437262369029185,7.917898026072222,7.9271199696585795,48,44135,65333,24.92
ImgROI_100_Tile_00_Date_20240603.tif,7.248261919918327,7.290248835166089,7.214905805270444,217,230368,10202,3.89
ImgROI_1010_Tile_00_Date_20240603.tif,6.472856283942402,6.5168195016549175,6.466284198834921,43,348879,0,0.0
ImgROI_1011_Tile_00_Date_20240603.tif,6.813858088376642,6.810718879331455,6.771529820366133,3,656,37354,14.25
ImgROI_1012_Tile_00_Date_20240603.tif,7.112251480896314,7.092750686769606,6.985386306561134,24,23443,144995,55.31
ImgROI_1013_Tile_00_Date_20240603.tif,6.599281446878777,6.584906413361172,6.594526040824647,10,21874,6659,2.54
ImgROI_1014_Tile_00_Date_20240603.tif,8.107262499667947,8.112164753097167,8.088950654481616,40,59321,75834,28.93
ImgROI_1015_Tile_00_Date_20240603.tif,7.900821514470643,7.9202337991140555,7.916051262709389,94,219782,35834,13.67
ImgROI_1016_Tile_00_Date_20240603.tif,7.505090658566299,7.519600888376768,7.553377872961726,67,151140,76633,29.23
ImgROI_1017_Tile_00_Date_20240603.tif,7.285719320590808,7.291244958477608,7.260195891987211,130,340313,0,0.0
ImgROI_1018_Tile_00_Date_20240603.tif,7.224200711410761,7.20531772485579,7.187488081536074,4,3525,163965,62.55
ImgROI_1019_Tile_00_Date_20240603.tif,5.116456748780851,5.163192906629522,5.411924752769704,59,127016,104454,39.85
ImgROI_101_Tile_00_Date_20240603.tif,5.824183092437972,5.824672624308297,5.975615504858481,45,11324,108516,41.4
ImgROI_1020_Tile_00_Date_20240603.tif,5.951397219990573,6.291112461002128,6.277046516142078,28,22924,40245,15.35
ImgROI_1021_Tile_00_Date_20240603.tif,5.9228037570934635,5.551665948239931,5.5379320354099795,83,51024,134833,51.43
ImgROI_1022_Tile_00_Date_20240603.tif,7.1013844699569315,6.960634603596078,6.96955101359805,168,174126,56654,21.61
ImgROI_1023_Tile_00_Date_20240603.tif,5.696020741823808,5.663275237426542,5.672712822010334,162,178356,67999,25.94
ImgROI_1024_Tile_00_Date_20240603.tif,6.992951288977327,6.952039837117936,6.93166695124271,308,290572,0,0.0
ImgROI_1025_Tile_00_Date_20240603.tif,7.29130786236186,7.280015601903108,7.383459104661053,105,264553,22661,8.64
ImgROI_1026_Tile_00_Date_20240603.tif,4.999918005840507,5.0183751040016915,4.968245201253958,16,23010,125602,47.91
ImgROI_1027_Tile_00_Date_20240603.tif,5.828454837287676,5.797346439050075,5.801527879134221,59,90513,130051,49.61
ImgROI_1028_Tile_00_Date_20240603.tif,6.386417142591962,6.368837267852392,6.383263909207632,134,366979,0,0.0
ImgROI_1029_Tile_00_Date_20240603.tif,7.3216731876064705,7.333614064708743,7.39325223751837,76,179098,14983,5.72
ImgROI_102_Tile_00_Date_20240603.tif,7.8515377237170725,7.938479675192364,7.971073862800057,188,222282,0,0.0
ImgROI_1030_Tile_00_Date_20240603.tif,7.60068642669534,7.587005004656144,7.6264610734422265,208,330089,0,0.0
ImgROI_1031_Tile_00_Date_20240603.tif,1.1581229683412269,1.177238087104396,1.1837485037710627,8,2431,234723,89.54
ImgROI_1032_Tile_00_Date_20240603.tif,7.72909814922677,7.4673510467407604,7.504699929203799,21,39002,164875,62.89
ImgROI_1033_Tile_00_Date_20240603.tif,6.25591722469555,6.294840132940998,6.294520976042774,44,32030,221582,84.53
ImgROI_1034_Tile_00_Date_20240603.tif,5.569564093062811,5.161947977249901,5.177816449111096,164,193011,56998,21.74
ImgROI_1035_Tile_00_Date_20240603.tif,2.640895106151422,2.657240788666446,2.6644599389960906,20,51788,20332,7.76
ImgROI_1036_Tile_00_Date_20240603.tif,7.121166443300151,7.1236781046582065,7.124840610524546,426,315390,0,0.0
ImgROI_1037_Tile_00_Date_20240603.tif,7.909792042378138,7.972302788689435,7.945682106282723,385,278910,28776,10.98
ImgROI_1038_Tile_00_Date_20240603.tif,6.750676383559069,6.457207182858893,6.473785580232501,283,178926,67009,25.56
ImgROI_1039_Tile_00_Date_20240603.tif,4.680984593720923,4.484320528885823,4.488798289666147,151,103856,137123,52.31
ImgROI_103_Tile_00_Date_20240603.tif,8.060713124239832,8.048031556123055,8.098434302250432,177,241730,0,0.0
ImgROI_1040_Tile_00_Date_20240603.tif,8.080594499057717,8.105020413695083,8.118645061866795,378,158541,73881,28.18
ImgROI_1041_Tile_00_Date_20240603.tif,7.857888763934719,7.855157886176038,7.845119960418529,763,340084,0,0.0
ImgROI_1042_Tile_00_Date_20240603.tif,5.543212892140397,5.436552535663386,5.425999742957983,128,56690,142155,54.23
ImgROI_1043_Tile_00_Date_20240603.tif,7.262144547147654,7.241296748243471,7.273547561830062,463,204205,12253,4.67
ImgROI_1044_Tile_00_Date_20240603.tif,7.1884472059857565,7.11668184223098,7.111521355444109,183,184061,142839,54.49
ImgROI_1045_Tile_00_Date_20240603.tif,6.764001401072161,6.770114097003597,6.660370284072435,29,51252,187711,71.61
ImgROI_1046_Tile_00_Date_20240603.tif,3.696237878748032,3.6892737732714567,3.7051497698357174,92,69793,141885,54.12
ImgROI_1047_Tile_00_Date_20240603.tif,6.165277556434352,6.178982702501142,6.179865153650962,165,175266,69812,26.63
