name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_00_Date_20240603.tif,7.833642073974848,7.832153314275863,7.852936273722229,45,32703,0,0.0
ImgROI_1000_Tile_00_Date_20240603.tif,7.035135323637594,7.0786359850038645,7.119069244483421,18,22581,37690,14.38
ImgROI_1001_Tile_00_Date_20240603.tif,6.657724271924752,6.736443472840001,6.751603845625848,29,272295,0,0.0
ImgROI_1002_Tile_00_Date_20240603.tif,1.23002233135084,1.1929931202686015,1.2190932444736629,20,16198,243103,92.74
ImgROI_1003_Tile_00_Date_20240603.tif,4.594373473038412,4.544399018333265,4.621150436390431,38,144348,104406,39.83
ImgROI_1004_Tile_00_Date_20240603.tif,4.483690054870079,4.494096053045627,4.490084046663814,25,266576,48016,18.32
ImgROI_1005_Tile_00_Date_20240603.tif,6.710188715530514,6.6410886025194245,6.711219530586205,35,269685,0,0.0
ImgROI_1006_Tile_00_Date_20240603.tif,2.5726077195322516,2.5928087725548448,2.6145385921055957,16,47513,209504,79.92
ImgROI_1007_Tile_00_Date_20240603.tif,5.1604713474984845,5.21728898337743,5.21363892612924,66,84405,136139,51.93
ImgROI_1008_Tile_00_Date_20240603.tif,7.019507889705092,7.054478943218967,7.0766446349311956,53,66663,85879,32.76
ImgROI_1009_Tile_00_Date_20240603.tif,7.870808037194662,7.842889214191509,7.86079342044645,69,71575,65333,24.92
ImgROI_100_Tile_00_Date_20240603.tif,6.717283980245656,6.7263500779730405,6.696122851688353,201,223743,10202,3.89
ImgROI_1010_Tile_00_Date_20240603.tif,6.472856283942402,6.5168195016549175,6.466284198834921,43,348879,0,0.0
ImgROI_1011_Tile_00_Date_20240603.tif,6.813858088376642,6.810718879331455,6.771529820366133,1,176,37354,14.25
ImgROI_1012_Tile_00_Date_20240603.tif,2.8650052974481297,2.9394921362580884,2.9231571400859644,49,68471,144995,55.31
ImgROI_1013_Tile_00_Date_20240603.tif,6.035991632140665,6.038693445628396,6.028693057105526,8,20944,6659,2.54
ImgROI_1014_Tile_00_Date_20240603.tif,7.447717484741856,7.4334248371781495,7.44442226298254,54,100914,75834,28.93
ImgROI_1015_Tile_00_Date_20240603.tif,7.900821514470643,7.9202337991140555,7.916051262709389,97,241795,35834,13.67
ImgROI_1016_Tile_00_Date_20240603.tif,7.153900109406796,7.155362382798247,7.1706804981288785,67,148682,76633,29.23
ImgROI_1017_Tile_00_Date_20240603.tif,7.285719320590808,7.291244958477608,7.260195891987211,130,340313,0,0.0
ImgROI_1018_Tile_00_Date_20240603.tif,5.532571469342715,5.709092729772302,5.772233452420869,1,381,163965,62.55
ImgROI_1019_Tile_00_Date_20240603.tif,2.746271535264766,2.790767446922832,2.763402339349223,59,283326,104454,39.85
ImgROI_101_Tile_00_Date_20240603.tif,4.6737078393364095,4.850706473621737,4.89219874289895,63,29409,108516,41.4
ImgROI_1020_Tile_00_Date_20240603.tif,8.236968350061758,8.239482107033693,8.209957006708274,33,25218,40245,15.35
ImgROI_1021_Tile_00_Date_20240603.tif,0.051875962588491455,0.051875962588491455,0.051875962588491455,80,164633,134833,51.43
ImgROI_1022_Tile_00_Date_20240603.tif,6.032261872733444,6.0247360540594235,6.0539951120232915,185,177762,56654,21.61
ImgROI_1023_Tile_00_Date_20240603.tif,5.620294518562498,5.614306103597623,5.639288875436021,153,195688,67999,25.94
ImgROI_1024_Tile_00_Date_20240603.tif,6.992951288977327,6.952039837117936,6.93166695124271,308,292592,0,0.0
ImgROI_1025_Tile_00_Date_20240603.tif,7.023897484308031,7.030680369083094,7.131875780291023,113,282411,22661,8.64
ImgROI_1026_Tile_00_Date_20240603.tif,0.8410184708847621,0.9017891210506626,0.9060512671385196,16,21873,125602,47.91
ImgROI_1027_Tile_00_Date_20240603.tif,3.1033687940693997,3.132814789824534,3.2016727263174674,78,110541,130051,49.61
