name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_00_Date_20240603.tif,7.833642073974848,7.832153314275863,7.852936273722229,45,32792,0,0.0
ImgROI_1000_Tile_00_Date_20240603.tif,7.035135323637594,7.0786359850038645,7.119069244483421,15,15819,37690,14.38
ImgROI_1001_Tile_00_Date_20240603.tif,6.657724271924752,6.736443472840001,6.751603845625848,29,272295,0,0.0
ImgROI_1002_Tile_00_Date_20240603.tif,0.961825226720368,1.042642645327426,1.1824464204377294,25,21442,243103,92.74
ImgROI_1003_Tile_00_Date_20240603.tif,4.584406311191516,4.638155393162798,5.020006299401158,46,64111,104406,39.83
ImgROI_1004_Tile_00_Date_20240603.tif,4.451045226542494,4.541496837198498,4.943786609701924,27,262729,48016,18.32
ImgROI_1005_Tile_00_Date_20240603.tif,6.710188715530514,6.6410886025194245,6.711219530586205,35,269685,0,0.0
ImgROI_1006_Tile_00_Date_20240603.tif,2.6737681157006254,2.6899328855590134,2.782778292751553,11,46443,209504,79.92
ImgROI_1007_Tile_00_Date_20240603.tif,4.682281139100318,4.697734625905221,4.9633578126996545,64,91538,136139,51.93
ImgROI_1008_Tile_00_Date_20240603.tif,7.019507889705092,7.0571017041796225,7.08885484814875,58,73474,85879,32.76
ImgROI_1009_Tile_00_Date_20240603.tif,7.880292628428178,7.857730416602066,7.903953427389391,62,71077,65333,24.92
ImgROI_100_Tile_00_Date_20240603.tif,6.565905509427978,6.570394259529397,6.598603423327948,208,230871,10202,3.89
ImgROI_1010_Tile_00_Date_20240603.tif,6.472856283942402,6.5168195016549175,6.466284198834921,43,348879,0,0.0
ImgROI_1011_Tile_00_Date_20240603.tif,6.813858088376642,6.810718879331455,6.771529820366133,1,176,37354,14.25
ImgROI_1012_Tile_00_Date_20240603.tif,2.531597183512529,2.5906292490188867,3.0270608935379206,35,55328,144995,55.31
ImgROI_1013_Tile_00_Date_20240603.tif,6.185307192095277,6.151288584868791,6.16924471449103,9,21904,6659,2.54
ImgROI_1014_Tile_00_Date_20240603.tif,7.278699948562853,7.32261472493371,7.430380949221608,53,97416,75834,28.93
ImgROI_1015_Tile_00_Date_20240603.tif,7.814220705033817,7.718342349493477,7.829166096270473,97,243264,35834,13.67
ImgROI_1016_Tile_00_Date_20240603.tif,6.709825194239657,6.691634948670087,6.962934224207455,71,152816,76633,29.23
ImgROI_1017_Tile_00_Date_20240603.tif,7.285719320590808,7.291244958477608,7.260195891987211,133,346567,0,0.0
ImgROI_1018_Tile_00_Date_20240603.tif,5.178780602162797,5.264251732164565,5.511132555751109,3,3991,163965,62.55
ImgROI_1019_Tile_00_Date_20240603.tif,2.8229951591214766,2.8688915505341526,2.969797189403943,59,143649,104454,39.85
ImgROI_101_Tile_00_Date_20240603.tif,4.62036390224551,4.770598163305253,5.108162221299791,57,38662,108516,41.4
ImgROI_1020_Tile_00_Date_20240603.tif,7.449881302257406,7.432094575440849,8.053880582071036,33,23000,40245,15.35
ImgROI_1021_Tile_00_Date_20240603.tif,0.0603522321253755,0.0603522321253755,0.07534815257479968,77,158727,134833,51.43
ImgROI_1022_Tile_00_Date_20240603.tif,6.073132595354783,6.107896487631887,6.407966228420011,191,133305,56654,21.61
ImgROI_1023_Tile_00_Date_20240603.tif,5.620294518562498,5.614306103597623,5.6205494068857105,154,197098,67999,25.94
ImgROI_1024_Tile_00_Date_20240603.tif,6.992951288977327,6.952039837117936,6.93166695124271,308,292592,0,0.0
ImgROI_1025_Tile_00_Date_20240603.tif,7.030568660840418,7.043632726978755,7.15886822659753,115,323172,22661,8.64
ImgROI_1026_Tile_00_Date_20240603.tif,0.0603522321253755,0.08252233877835038,0.0975127124451534,22,34556,125602,47.91
ImgROI_1027_Tile_00_Date_20240603.tif,3.2403838281781345,3.21511225174733,4.020855414473164,87,124403,130051,49.61
ImgROI_1028_Tile_00_Date_20240603.tif,6.386417142591962,6.368837267852392,6.383263909207632,134,366979,0,0.0
ImgROI_1029_Tile_00_Date_20240603.tif,7.3216731876064705,7.333614064708743,7.39325223751837,75,176605,14983,5.72
ImgROI_102_Tile_00_Date_20240603.tif,7.8515377237170725,7.938479675192364,7.971073862800057,188,222282,0,0.0
ImgROI_1030_Tile_00_Date_20240603.tif,7.60068642669534,7.587005004656144,7.6264610734422265,208,330165,0,0.0
ImgROI_1031_Tile_00_Date_20240603.tif,1.2706530428985727,1.3091384314655017,1.3383408027031416,24,25595,234723,89.54
