,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,45,32792
1,ImgROI_1000_Tile_00_Date_20240603.tif,13,11103
2,ImgROI_1001_Tile_00_Date_20240603.tif,29,272295
3,ImgROI_1002_Tile_00_Date_20240603.tif,0,0
4,ImgROI_1003_Tile_00_Date_20240603.tif,34,44287
5,ImgROI_1004_Tile_00_Date_20240603.tif,21,40940
6,ImgROI_1005_Tile_00_Date_20240603.tif,35,269685
7,ImgROI_1006_Tile_00_Date_20240603.tif,4,1441
8,ImgROI_1007_Tile_00_Date_20240603.tif,28,30313
9,ImgROI_1008_Tile_00_Date_20240603.tif,31,35888
10,ImgROI_1009_Tile_00_Date_20240603.tif,47,54869
11,ImgROI_100_Tile_00_Date_20240603.tif,213,300384
12,ImgROI_1010_Tile_00_Date_20240603.tif,43,348879
13,ImgROI_1011_Tile_00_Date_20240603.tif,2,438
14,ImgROI_1012_Tile_00_Date_20240603.tif,22,12901
15,ImgROI_1013_Tile_00_Date_20240603.tif,10,21874
16,ImgROI_1014_Tile_00_Date_20240603.tif,35,45530
17,ImgROI_1015_Tile_00_Date_20240603.tif,96,221242
18,ImgROI_1016_Tile_00_Date_20240603.tif,67,148030
19,ImgROI_1017_Tile_00_Date_20240603.tif,130,340313
20,ImgROI_1018_Tile_00_Date_20240603.tif,5,4445
21,ImgROI_1019_Tile_00_Date_20240603.tif,66,145697
22,ImgROI_101_Tile_00_Date_20240603.tif,37,11622
23,ImgROI_1020_Tile_00_Date_20240603.tif,37,35636
24,ImgROI_1021_Tile_00_Date_20240603.tif,84,56320
25,ImgROI_1022_Tile_00_Date_20240603.tif,173,175407
26,ImgROI_1023_Tile_00_Date_20240603.tif,168,221217
27,ImgROI_1024_Tile_00_Date_20240603.tif,308,292592
28,ImgROI_1025_Tile_00_Date_20240603.tif,108,290882
29,ImgROI_1026_Tile_00_Date_20240603.tif,15,21727
30,ImgROI_1027_Tile_00_Date_20240603.tif,58,91489
31,ImgROI_1028_Tile_00_Date_20240603.tif,134,366979
32,ImgROI_1029_Tile_00_Date_20240603.tif,76,179098
33,ImgROI_102_Tile_00_Date_20240603.tif,188,222282
34,ImgROI_1030_Tile_00_Date_20240603.tif,208,330165
35,ImgROI_1031_Tile_00_Date_20240603.tif,2,2395
36,ImgROI_1032_Tile_00_Date_20240603.tif,17,9925
37,ImgROI_1033_Tile_00_Date_20240603.tif,41,28420
38,ImgROI_1034_Tile_00_Date_20240603.tif,157,151463
39,ImgROI_1035_Tile_00_Date_20240603.tif,34,17476
40,ImgROI_1036_Tile_00_Date_20240603.tif,423,312065
41,ImgROI_1037_Tile_00_Date_20240603.tif,368,265039
42,ImgROI_1038_Tile_00_Date_20240603.tif,269,187391
43,ImgROI_1039_Tile_00_Date_20240603.tif,152,96099
44,ImgROI_103_Tile_00_Date_20240603.tif,179,246818
45,ImgROI_1040_Tile_00_Date_20240603.tif,370,158817
46,ImgROI_1041_Tile_00_Date_20240603.tif,773,339905
47,ImgROI_1042_Tile_00_Date_20240603.tif,151,82789
48,ImgROI_1043_Tile_00_Date_20240603.tif,465,203742
49,ImgROI_1044_Tile_00_Date_20240603.tif,177,66616
50,ImgROI_1045_Tile_00_Date_20240603.tif,30,23363
