,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,21,125367
1,ImgROI_1000_Tile_00_Date_20240603.tif,15,13667
2,ImgROI_1001_Tile_00_Date_20240603.tif,27,272015
3,ImgROI_1002_Tile_00_Date_20240603.tif,5,554
4,ImgROI_1003_Tile_00_Date_20240603.tif,40,108937
5,ImgROI_1004_Tile_00_Date_20240603.tif,22,250335
6,ImgROI_1005_Tile_00_Date_20240603.tif,35,269685
7,ImgROI_1006_Tile_00_Date_20240603.tif,11,33498
8,ImgROI_1007_Tile_00_Date_20240603.tif,43,83260
9,ImgROI_1008_Tile_00_Date_20240603.tif,36,237234
10,ImgROI_1009_Tile_00_Date_20240603.tif,68,269812
11,ImgROI_100_Tile_00_Date_20240603.tif,208,492450
12,ImgROI_1010_Tile_00_Date_20240603.tif,43,348879
13,ImgROI_1011_Tile_00_Date_20240603.tif,6,18940
14,ImgROI_1012_Tile_00_Date_20240603.tif,21,37437
15,ImgROI_1013_Tile_00_Date_20240603.tif,9,21917
16,ImgROI_1014_Tile_00_Date_20240603.tif,32,48287
17,ImgROI_1015_Tile_00_Date_20240603.tif,97,228792
18,ImgROI_1016_Tile_00_Date_20240603.tif,60,127590
19,ImgROI_1017_Tile_00_Date_20240603.tif,130,340313
20,ImgROI_1018_Tile_00_Date_20240603.tif,11,8810
21,ImgROI_1019_Tile_00_Date_20240603.tif,58,271743
22,ImgROI_101_Tile_00_Date_20240603.tif,53,22846
23,ImgROI_1020_Tile_00_Date_20240603.tif,20,14166
24,ImgROI_1021_Tile_00_Date_20240603.tif,75,67766
25,ImgROI_1022_Tile_00_Date_20240603.tif,175,167476
26,ImgROI_1023_Tile_00_Date_20240603.tif,140,204877
27,ImgROI_1024_Tile_00_Date_20240603.tif,308,292592
28,ImgROI_1025_Tile_00_Date_20240603.tif,109,286227
29,ImgROI_1026_Tile_00_Date_20240603.tif,17,22066
30,ImgROI_1027_Tile_00_Date_20240603.tif,54,72711
31,ImgROI_1028_Tile_00_Date_20240603.tif,134,366979
32,ImgROI_1029_Tile_00_Date_20240603.tif,76,179098
33,ImgROI_102_Tile_00_Date_20240603.tif,188,222282
34,ImgROI_1030_Tile_00_Date_20240603.tif,208,330165
35,ImgROI_1031_Tile_00_Date_20240603.tif,10,8584
36,ImgROI_1032_Tile_00_Date_20240603.tif,20,15956
37,ImgROI_1033_Tile_00_Date_20240603.tif,42,69570
38,ImgROI_1034_Tile_00_Date_20240603.tif,154,151598
39,ImgROI_1035_Tile_00_Date_20240603.tif,5,3930
