,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,45,32792
1,ImgROI_1000_Tile_00_Date_20240603.tif,14,13738
2,ImgROI_1001_Tile_00_Date_20240603.tif,29,272295
3,ImgROI_1002_Tile_00_Date_20240603.tif,3,3299
4,ImgROI_1003_Tile_00_Date_20240603.tif,40,65583
5,ImgROI_1004_Tile_00_Date_20240603.tif,24,270272
6,ImgROI_1005_Tile_00_Date_20240603.tif,35,269685
7,ImgROI_1006_Tile_00_Date_20240603.tif,3,50454
8,ImgROI_1007_Tile_00_Date_20240603.tif,52,178007
9,ImgROI_1008_Tile_00_Date_20240603.tif,28,237423
10,ImgROI_1009_Tile_00_Date_20240603.tif,52,375898
11,ImgROI_100_Tile_00_Date_20240603.tif,214,300125
12,ImgROI_1010_Tile_00_Date_20240603.tif,43,348879
13,ImgROI_1011_Tile_00_Date_20240603.tif,2,436
14,ImgROI_1012_Tile_00_Date_20240603.tif,25,47743
15,ImgROI_1013_Tile_00_Date_20240603.tif,10,21874
16,ImgROI_1014_Tile_00_Date_20240603.tif,41,87194
17,ImgROI_1015_Tile_00_Date_20240603.tif,94,216445
18,ImgROI_1016_Tile_00_Date_20240603.tif,63,144676
19,ImgROI_1017_Tile_00_Date_20240603.tif,130,340313
20,ImgROI_1018_Tile_00_Date_20240603.tif,4,3554
21,ImgROI_1019_Tile_00_Date_20240603.tif,60,262213
22,ImgROI_101_Tile_00_Date_20240603.tif,35,9672
23,ImgROI_1020_Tile_00_Date_20240603.tif,31,23678
24,ImgROI_1021_Tile_00_Date_20240603.tif,80,70749
25,ImgROI_1022_Tile_00_Date_20240603.tif,177,205991
26,ImgROI_1023_Tile_00_Date_20240603.tif,153,240755
27,ImgROI_1024_Tile_00_Date_20240603.tif,308,292592
28,ImgROI_1025_Tile_00_Date_20240603.tif,100,252339
29,ImgROI_1026_Tile_00_Date_20240603.tif,15,21727
30,ImgROI_1027_Tile_00_Date_20240603.tif,56,88009
31,ImgROI_1028_Tile_00_Date_20240603.tif,134,366979
32,ImgROI_1029_Tile_00_Date_20240603.tif,76,179087
33,ImgROI_102_Tile_00_Date_20240603.tif,188,222282
34,ImgROI_1030_Tile_00_Date_20240603.tif,208,330165
35,ImgROI_1031_Tile_00_Date_20240603.tif,3,3403
36,ImgROI_1032_Tile_00_Date_20240603.tif,15,3957
37,ImgROI_1033_Tile_00_Date_20240603.tif,42,27177
38,ImgROI_1034_Tile_00_Date_20240603.tif,154,265456
39,ImgROI_1035_Tile_00_Date_20240603.tif,17,8123
40,ImgROI_1036_Tile_00_Date_20240603.tif,423,312065
41,ImgROI_1037_Tile_00_Date_20240603.tif,359,504411
42,ImgROI_1038_Tile_00_Date_20240603.tif,254,380508
43,ImgROI_1039_Tile_00_Date_20240603.tif,140,86490
44,ImgROI_103_Tile_00_Date_20240603.tif,179,246818
45,ImgROI_1040_Tile_00_Date_20240603.tif,362,153384
46,ImgROI_1041_Tile_00_Date_20240603.tif,777,342337
47,ImgROI_1042_Tile_00_Date_20240603.tif,112,138670
48,ImgROI_1043_Tile_00_Date_20240603.tif,442,194617
49,ImgROI_1044_Tile_00_Date_20240603.tif,155,161535
50,ImgROI_1045_Tile_00_Date_20240603.tif,40,68905
51,ImgROI_1046_Tile_00_Date_20240603.tif,83,106483
52,ImgROI_1047_Tile_00_Date_20240603.tif,142,368614
53,ImgROI_1048_Tile_00_Date_20240603.tif,317,394145
54,ImgROI_1049_Tile_00_Date_20240603.tif,206,437614
55,ImgROI_104_Tile_00_Date_20240603.tif,78,22652
56,ImgROI_1050_Tile_00_Date_20240603.tif,3,926
57,ImgROI_1051_Tile_00_Date_20240603.tif,58,57096
58,ImgROI_1052_Tile_00_Date_20240603.tif,110,109478
59,ImgROI_1053_Tile_00_Date_20240603.tif,362,275736
60,ImgROI_1054_Tile_00_Date_20240603.tif,476,385350
61,ImgROI_1055_Tile_00_Date_20240603.tif,169,122761
62,ImgROI_1056_Tile_00_Date_20240603.tif,99,106598
63,ImgROI_1057_Tile_00_Date_20240603.tif,389,278625
64,ImgROI_1058_Tile_00_Date_20240603.tif,23,9350
65,ImgROI_1059_Tile_00_Date_20240603.tif,574,369622
66,ImgROI_105_Tile_00_Date_20240603.tif,49,324838
67,ImgROI_1060_Tile_00_Date_20240603.tif,98,22937
68,ImgROI_1061_Tile_00_Date_20240603.tif,471,227419
69,ImgROI_1062_Tile_00_Date_20240603.tif,799,295053
70,ImgROI_1063_Tile_00_Date_20240603.tif,481,159250
71,ImgROI_1064_Tile_00_Date_20240603.tif,241,95820
72,ImgROI_1065_Tile_00_Date_20240603.tif,139,421576
73,ImgROI_1066_Tile_00_Date_20240603.tif,19,34447
74,ImgROI_1067_Tile_00_Date_20240603.tif,36,51980
75,ImgROI_1068_Tile_00_Date_20240603.tif,65,84907
76,ImgROI_1069_Tile_00_Date_20240603.tif,221,359380
77,ImgROI_106_Tile_00_Date_20240603.tif,62,335598
78,ImgROI_1070_Tile_00_Date_20240603.tif,312,120356
79,ImgROI_1071_Tile_00_Date_20240603.tif,192,108111
80,ImgROI_1072_Tile_00_Date_20240603.tif,63,88781
81,ImgROI_1073_Tile_00_Date_20240603.tif,96,58864
82,ImgROI_1074_Tile_00_Date_20240603.tif,501,321933
83,ImgROI_1075_Tile_00_Date_20240603.tif,262,188690
84,ImgROI_1076_Tile_00_Date_20240603.tif,379,258077
85,ImgROI_1077_Tile_00_Date_20240603.tif,466,304191
86,ImgROI_1078_Tile_00_Date_20240603.tif,14,7281
87,ImgROI_1079_Tile_00_Date_20240603.tif,182,123508
88,ImgROI_107_Tile_00_Date_20240603.tif,82,52811
89,ImgROI_1080_Tile_00_Date_20240603.tif,6,1034
90,ImgROI_1081_Tile_00_Date_20240603.tif,168,48485
91,ImgROI_1082_Tile_00_Date_20240603.tif,534,434003
92,ImgROI_1083_Tile_00_Date_20240603.tif,286,76929
93,ImgROI_1084_Tile_00_Date_20240603.tif,131,63549
94,ImgROI_1085_Tile_00_Date_20240603.tif,43,364935
95,ImgROI_1086_Tile_00_Date_20240603.tif,8,2445
96,ImgROI_1087_Tile_00_Date_20240603.tif,57,279420
97,ImgROI_1088_Tile_00_Date_20240603.tif,0,0
98,ImgROI_1089_Tile_00_Date_20240603.tif,92,33736
99,ImgROI_108_Tile_00_Date_20240603.tif,17,5475
100,ImgROI_1090_Tile_00_Date_20240603.tif,190,299836
101,ImgROI_1091_Tile_00_Date_20240603.tif,98,15895
102,ImgROI_1092_Tile_00_Date_20240603.tif,213,70888
103,ImgROI_1093_Tile_00_Date_20240603.tif,92,393880
104,ImgROI_1094_Tile_00_Date_20240603.tif,285,338047
105,ImgROI_1095_Tile_00_Date_20240603.tif,233,263231
106,ImgROI_1096_Tile_00_Date_20240603.tif,118,70946
107,ImgROI_1097_Tile_00_Date_20240603.tif,116,70184
108,ImgROI_1098_Tile_00_Date_20240603.tif,66,43646
109,ImgROI_1099_Tile_00_Date_20240603.tif,54,58625
110,ImgROI_109_Tile_00_Date_20240603.tif,35,277891
111,ImgROI_10_Tile_00_Date_20240603.tif,3,441
112,ImgROI_1100_Tile_00_Date_20240603.tif,269,202552
113,ImgROI_1101_Tile_00_Date_20240603.tif,76,159689
114,ImgROI_1102_Tile_00_Date_20240603.tif,106,237422
115,ImgROI_1103_Tile_00_Date_20240603.tif,90,28588
116,ImgROI_1104_Tile_00_Date_20240603.tif,2,1425
117,ImgROI_1105_Tile_00_Date_20240603.tif,31,13944
118,ImgROI_1106_Tile_00_Date_20240603.tif,3,1244
119,ImgROI_1107_Tile_00_Date_20240603.tif,7,335215
120,ImgROI_1108_Tile_00_Date_20240603.tif,6,258568
121,ImgROI_1109_Tile_00_Date_20240603.tif,1,167
122,ImgROI_110_Tile_00_Date_20240603.tif,1,23
123,ImgROI_1110_Tile_00_Date_20240603.tif,7,6323
124,ImgROI_1111_Tile_00_Date_20240603.tif,226,345447
125,ImgROI_1112_Tile_00_Date_20240603.tif,238,125746
126,ImgROI_1113_Tile_00_Date_20240603.tif,13,1741
127,ImgROI_1114_Tile_00_Date_20240603.tif,74,24067
128,ImgROI_1115_Tile_00_Date_20240603.tif,75,299615
129,ImgROI_1116_Tile_00_Date_20240603.tif,31,11361
130,ImgROI_1117_Tile_00_Date_20240603.tif,17,3144
131,ImgROI_1118_Tile_00_Date_20240603.tif,5,2467
132,ImgROI_1119_Tile_00_Date_20240603.tif,46,345644
133,ImgROI_111_Tile_00_Date_20240603.tif,161,530437
134,ImgROI_1120_Tile_00_Date_20240603.tif,107,333403
135,ImgROI_1121_Tile_00_Date_20240603.tif,123,351255
136,ImgROI_1122_Tile_00_Date_20240603.tif,87,57172
137,ImgROI_1123_Tile_00_Date_20240603.tif,4,448
138,ImgROI_1124_Tile_00_Date_20240603.tif,1,1123
139,ImgROI_1125_Tile_00_Date_20240603.tif,174,427847
140,ImgROI_1126_Tile_00_Date_20240603.tif,185,135631
141,ImgROI_1127_Tile_00_Date_20240603.tif,32,27157
142,ImgROI_1128_Tile_00_Date_20240603.tif,17,30060
143,ImgROI_1129_Tile_00_Date_20240603.tif,123,79813
144,ImgROI_112_Tile_00_Date_20240603.tif,193,102522
145,ImgROI_1130_Tile_00_Date_20240603.tif,24,75207
146,ImgROI_1131_Tile_00_Date_20240603.tif,152,219185
147,ImgROI_1132_Tile_00_Date_20240603.tif,25,107956
148,ImgROI_1133_Tile_00_Date_20240603.tif,219,337553
149,ImgROI_1134_Tile_00_Date_20240603.tif,78,74711
150,ImgROI_1135_Tile_00_Date_20240603.tif,115,50350
151,ImgROI_1136_Tile_00_Date_20240603.tif,60,23838
152,ImgROI_1137_Tile_00_Date_20240603.tif,1,25
153,ImgROI_1138_Tile_00_Date_20240603.tif,56,26233
154,ImgROI_1139_Tile_00_Date_20240603.tif,74,292027
155,ImgROI_113_Tile_00_Date_20240603.tif,49,154880
156,ImgROI_1140_Tile_00_Date_20240603.tif,1,27
157,ImgROI_1141_Tile_00_Date_20240603.tif,84,44414
158,ImgROI_1142_Tile_00_Date_20240603.tif,39,17158
159,ImgROI_1143_Tile_00_Date_20240603.tif,49,28165
160,ImgROI_1144_Tile_00_Date_20240603.tif,97,392492
161,ImgROI_1145_Tile_00_Date_20240603.tif,169,62312
162,ImgROI_1146_Tile_00_Date_20240603.tif,141,63453
163,ImgROI_1147_Tile_00_Date_20240603.tif,22,20173
164,ImgROI_1148_Tile_00_Date_20240603.tif,338,334806
165,ImgROI_1149_Tile_00_Date_20240603.tif,222,58267
166,ImgROI_114_Tile_00_Date_20240603.tif,55,164054
167,ImgROI_1150_Tile_00_Date_20240603.tif,360,455214
168,ImgROI_1151_Tile_00_Date_20240603.tif,3,1252
169,ImgROI_1152_Tile_00_Date_20240603.tif,13,7274
170,ImgROI_1153_Tile_00_Date_20240603.tif,89,43787
171,ImgROI_1154_Tile_00_Date_20240603.tif,387,373724
172,ImgROI_1155_Tile_00_Date_20240603.tif,247,325555
173,ImgROI_1156_Tile_00_Date_20240603.tif,267,360949
174,ImgROI_1157_Tile_00_Date_20240603.tif,91,24223
175,ImgROI_1158_Tile_00_Date_20240603.tif,41,9134
176,ImgROI_1159_Tile_00_Date_20240603.tif,122,38767
177,ImgROI_115_Tile_00_Date_20240603.tif,27,307858
178,ImgROI_1160_Tile_00_Date_20240603.tif,109,342390
179,ImgROI_1161_Tile_00_Date_20240603.tif,121,278885
180,ImgROI_1162_Tile_00_Date_20240603.tif,10,2819
181,ImgROI_1163_Tile_00_Date_20240603.tif,111,35521
182,ImgROI_1164_Tile_00_Date_20240603.tif,8,2509
183,ImgROI_1165_Tile_00_Date_20240603.tif,54,330583
184,ImgROI_1166_Tile_00_Date_20240603.tif,16,14483
185,ImgROI_1167_Tile_00_Date_20240603.tif,63,86002
186,ImgROI_1168_Tile_00_Date_20240603.tif,64,37866
