,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,87,41374
1,ImgROI_1000_Tile_00_Date_20240603.tif,33,12762
2,ImgROI_1001_Tile_00_Date_20240603.tif,26,270472
3,ImgROI_1002_Tile_00_Date_20240603.tif,7,90
4,ImgROI_1003_Tile_00_Date_20240603.tif,75,43978
5,ImgROI_1004_Tile_00_Date_20240603.tif,55,39424
6,ImgROI_1005_Tile_00_Date_20240603.tif,35,269685
7,ImgROI_1006_Tile_00_Date_20240603.tif,20,44398
8,ImgROI_1007_Tile_00_Date_20240603.tif,67,30503
9,ImgROI_1008_Tile_00_Date_20240603.tif,58,165255
10,ImgROI_1009_Tile_00_Date_20240603.tif,66,54639
11,ImgROI_100_Tile_00_Date_20240603.tif,137,361499
12,ImgROI_1010_Tile_00_Date_20240603.tif,43,348879
13,ImgROI_1011_Tile_00_Date_20240603.tif,8,13862
14,ImgROI_1012_Tile_00_Date_20240603.tif,51,10814
15,ImgROI_1013_Tile_00_Date_20240603.tif,10,26661
16,ImgROI_1014_Tile_00_Date_20240603.tif,57,75777
17,ImgROI_1015_Tile_00_Date_20240603.tif,116,253643
18,ImgROI_1016_Tile_00_Date_20240603.tif,81,133289
19,ImgROI_1017_Tile_00_Date_20240603.tif,130,340313
20,ImgROI_1018_Tile_00_Date_20240603.tif,9,5719
21,ImgROI_1019_Tile_00_Date_20240603.tif,60,127588
22,ImgROI_101_Tile_00_Date_20240603.tif,72,12304
23,ImgROI_1020_Tile_00_Date_20240603.tif,17,9502
24,ImgROI_1021_Tile_00_Date_20240603.tif,107,143808
25,ImgROI_1022_Tile_00_Date_20240603.tif,182,154480
26,ImgROI_1023_Tile_00_Date_20240603.tif,144,172860
27,ImgROI_1024_Tile_00_Date_20240603.tif,308,293052
28,ImgROI_1025_Tile_00_Date_20240603.tif,102,257570
29,ImgROI_1026_Tile_00_Date_20240603.tif,26,25791
30,ImgROI_1027_Tile_00_Date_20240603.tif,70,85475
31,ImgROI_1028_Tile_00_Date_20240603.tif,136,368361
32,ImgROI_1029_Tile_00_Date_20240603.tif,75,174090
33,ImgROI_102_Tile_00_Date_20240603.tif,216,404953
34,ImgROI_1030_Tile_00_Date_20240603.tif,212,331208
35,ImgROI_1031_Tile_00_Date_20240603.tif,1,2
36,ImgROI_1032_Tile_00_Date_20240603.tif,56,15492
37,ImgROI_1033_Tile_00_Date_20240603.tif,11,5975
38,ImgROI_1034_Tile_00_Date_20240603.tif,167,146176
39,ImgROI_1035_Tile_00_Date_20240603.tif,7,4496
40,ImgROI_1036_Tile_00_Date_20240603.tif,441,322935
41,ImgROI_1037_Tile_00_Date_20240603.tif,383,493541
42,ImgROI_1038_Tile_00_Date_20240603.tif,24,15196
43,ImgROI_1039_Tile_00_Date_20240603.tif,27,1529
44,ImgROI_103_Tile_00_Date_20240603.tif,226,463019
45,ImgROI_1040_Tile_00_Date_20240603.tif,359,129328
46,ImgROI_1041_Tile_00_Date_20240603.tif,773,342512
47,ImgROI_1042_Tile_00_Date_20240603.tif,66,18038
48,ImgROI_1043_Tile_00_Date_20240603.tif,299,119377
49,ImgROI_1044_Tile_00_Date_20240603.tif,177,78458
50,ImgROI_1045_Tile_00_Date_20240603.tif,58,36427
51,ImgROI_1046_Tile_00_Date_20240603.tif,26,12717
52,ImgROI_1047_Tile_00_Date_20240603.tif,183,175673
53,ImgROI_1048_Tile_00_Date_20240603.tif,321,402085
54,ImgROI_1049_Tile_00_Date_20240603.tif,237,458649
55,ImgROI_104_Tile_00_Date_20240603.tif,108,25936
56,ImgROI_1050_Tile_00_Date_20240603.tif,0,0
57,ImgROI_1051_Tile_00_Date_20240603.tif,22,2543
58,ImgROI_1052_Tile_00_Date_20240603.tif,68,22392
59,ImgROI_1053_Tile_00_Date_20240603.tif,387,287366
60,ImgROI_1054_Tile_00_Date_20240603.tif,487,392496
61,ImgROI_1055_Tile_00_Date_20240603.tif,146,117043
62,ImgROI_1056_Tile_00_Date_20240603.tif,59,23180
63,ImgROI_1057_Tile_00_Date_20240603.tif,387,518197
64,ImgROI_1058_Tile_00_Date_20240603.tif,23,2291
65,ImgROI_1059_Tile_00_Date_20240603.tif,575,367726
66,ImgROI_105_Tile_00_Date_20240603.tif,63,328753
67,ImgROI_1060_Tile_00_Date_20240603.tif,137,31777
68,ImgROI_1061_Tile_00_Date_20240603.tif,128,38926
69,ImgROI_1062_Tile_00_Date_20240603.tif,625,266867
70,ImgROI_1063_Tile_00_Date_20240603.tif,261,46415
71,ImgROI_1064_Tile_00_Date_20240603.tif,150,45792
72,ImgROI_1065_Tile_00_Date_20240603.tif,150,444641
73,ImgROI_1066_Tile_00_Date_20240603.tif,16,7352
74,ImgROI_1067_Tile_00_Date_20240603.tif,37,43479
75,ImgROI_1068_Tile_00_Date_20240603.tif,75,86710
76,ImgROI_1069_Tile_00_Date_20240603.tif,214,338739
77,ImgROI_106_Tile_00_Date_20240603.tif,18,258152
78,ImgROI_1070_Tile_00_Date_20240603.tif,334,121605
79,ImgROI_1071_Tile_00_Date_20240603.tif,198,108175
80,ImgROI_1072_Tile_00_Date_20240603.tif,72,54641
81,ImgROI_1073_Tile_00_Date_20240603.tif,0,0
82,ImgROI_1074_Tile_00_Date_20240603.tif,505,262647
83,ImgROI_1075_Tile_00_Date_20240603.tif,238,101923
84,ImgROI_1076_Tile_00_Date_20240603.tif,384,241488
85,ImgROI_1077_Tile_00_Date_20240603.tif,463,302480
86,ImgROI_1078_Tile_00_Date_20240603.tif,11,459
87,ImgROI_1079_Tile_00_Date_20240603.tif,179,88411
88,ImgROI_107_Tile_00_Date_20240603.tif,101,59252
89,ImgROI_1080_Tile_00_Date_20240603.tif,0,0
90,ImgROI_1081_Tile_00_Date_20240603.tif,163,49050
91,ImgROI_1082_Tile_00_Date_20240603.tif,535,434901
