,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,57,50817
1,ImgROI_1000_Tile_00_Date_20240603.tif,8,10754
2,ImgROI_1001_Tile_00_Date_20240603.tif,6,260500
3,ImgROI_1002_Tile_00_Date_20240603.tif,16,8559
4,ImgROI_1003_Tile_00_Date_20240603.tif,16,82162
5,ImgROI_1004_Tile_00_Date_20240603.tif,12,237278
6,ImgROI_1005_Tile_00_Date_20240603.tif,10,328248
7,ImgROI_1006_Tile_00_Date_20240603.tif,22,46560
8,ImgROI_1007_Tile_00_Date_20240603.tif,87,63867
9,ImgROI_1008_Tile_00_Date_20240603.tif,15,220722
10,ImgROI_1009_Tile_00_Date_20240603.tif,18,219087
11,ImgROI_100_Tile_00_Date_20240603.tif,129,163818
12,ImgROI_1010_Tile_00_Date_20240603.tif,12,383745
13,ImgROI_1011_Tile_00_Date_20240603.tif,0,0
14,ImgROI_1012_Tile_00_Date_20240603.tif,4,2623
15,ImgROI_1013_Tile_00_Date_20240603.tif,2,19250
16,ImgROI_1014_Tile_00_Date_20240603.tif,24,38163
17,ImgROI_1015_Tile_00_Date_20240603.tif,92,235684
18,ImgROI_1016_Tile_00_Date_20240603.tif,51,130165
19,ImgROI_1017_Tile_00_Date_20240603.tif,116,345508
20,ImgROI_1018_Tile_00_Date_20240603.tif,4,5035
21,ImgROI_1019_Tile_00_Date_20240603.tif,37,122354
22,ImgROI_101_Tile_00_Date_20240603.tif,84,24520
23,ImgROI_1020_Tile_00_Date_20240603.tif,19,28295
24,ImgROI_1021_Tile_00_Date_20240603.tif,48,155336
25,ImgROI_1022_Tile_00_Date_20240603.tif,118,184671
26,ImgROI_1023_Tile_00_Date_20240603.tif,77,343790
27,ImgROI_1024_Tile_00_Date_20240603.tif,221,220778
28,ImgROI_1025_Tile_00_Date_20240603.tif,85,233364
29,ImgROI_1026_Tile_00_Date_20240603.tif,13,19683
30,ImgROI_1027_Tile_00_Date_20240603.tif,39,65655
