,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,120,143120
1,ImgROI_1000_Tile_00_Date_20240603.tif,16,13800
2,ImgROI_1001_Tile_00_Date_20240603.tif,29,272295
3,ImgROI_1002_Tile_00_Date_20240603.tif,0,0
4,ImgROI_1003_Tile_00_Date_20240603.tif,59,74119
5,ImgROI_1004_Tile_00_Date_20240603.tif,26,265714
6,ImgROI_1005_Tile_00_Date_20240603.tif,35,269685
7,ImgROI_1006_Tile_00_Date_20240603.tif,7,29731
8,ImgROI_1007_Tile_00_Date_20240603.tif,57,80241
9,ImgROI_1008_Tile_00_Date_20240603.tif,36,250965
10,ImgROI_1009_Tile_00_Date_20240603.tif,48,42872
11,ImgROI_100_Tile_00_Date_20240603.tif,206,227955
12,ImgROI_1010_Tile_00_Date_20240603.tif,43,348879
13,ImgROI_1011_Tile_00_Date_20240603.tif,6,1372
14,ImgROI_1012_Tile_00_Date_20240603.tif,25,12439
15,ImgROI_1013_Tile_00_Date_20240603.tif,10,21821
16,ImgROI_1014_Tile_00_Date_20240603.tif,31,65152
17,ImgROI_1015_Tile_00_Date_20240603.tif,98,231914
18,ImgROI_1016_Tile_00_Date_20240603.tif,79,152554
19,ImgROI_1017_Tile_00_Date_20240603.tif,130,340313
20,ImgROI_1018_Tile_00_Date_20240603.tif,6,2079
21,ImgROI_1019_Tile_00_Date_20240603.tif,54,118204
22,ImgROI_101_Tile_00_Date_20240603.tif,46,9704
23,ImgROI_1020_Tile_00_Date_20240603.tif,34,25411
24,ImgROI_1021_Tile_00_Date_20240603.tif,78,32407
25,ImgROI_1022_Tile_00_Date_20240603.tif,172,169739
26,ImgROI_1023_Tile_00_Date_20240603.tif,149,186182
27,ImgROI_1024_Tile_00_Date_20240603.tif,308,292592
28,ImgROI_1025_Tile_00_Date_20240603.tif,99,242484
29,ImgROI_1026_Tile_00_Date_20240603.tif,20,23258
30,ImgROI_1027_Tile_00_Date_20240603.tif,56,78267
31,ImgROI_1028_Tile_00_Date_20240603.tif,134,366979
32,ImgROI_1029_Tile_00_Date_20240603.tif,76,179110
