,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,134,43132
1,ImgROI_1000_Tile_00_Date_20240603.tif,27,93071
2,ImgROI_1001_Tile_00_Date_20240603.tif,7,269111
3,ImgROI_1002_Tile_00_Date_20240603.tif,0,0
4,ImgROI_1003_Tile_00_Date_20240603.tif,22,24887
5,ImgROI_1004_Tile_00_Date_20240603.tif,52,28497
6,ImgROI_1005_Tile_00_Date_20240603.tif,10,328248
7,ImgROI_1006_Tile_00_Date_20240603.tif,0,0
8,ImgROI_1007_Tile_00_Date_20240603.tif,32,21279
9,ImgROI_1008_Tile_00_Date_20240603.tif,99,155132
10,ImgROI_1009_Tile_00_Date_20240603.tif,93,176966
11,ImgROI_100_Tile_00_Date_20240603.tif,67,306439
12,ImgROI_1010_Tile_00_Date_20240603.tif,12,383745
13,ImgROI_1011_Tile_00_Date_20240603.tif,0,0
14,ImgROI_1012_Tile_00_Date_20240603.tif,67,82896
15,ImgROI_1013_Tile_00_Date_20240603.tif,15,11495
16,ImgROI_1014_Tile_00_Date_20240603.tif,60,126646
17,ImgROI_1015_Tile_00_Date_20240603.tif,88,156562
18,ImgROI_1016_Tile_00_Date_20240603.tif,75,60664
19,ImgROI_1017_Tile_00_Date_20240603.tif,116,333787
20,ImgROI_1018_Tile_00_Date_20240603.tif,5,4815
21,ImgROI_1019_Tile_00_Date_20240603.tif,63,128026
22,ImgROI_101_Tile_00_Date_20240603.tif,5,6469
23,ImgROI_1020_Tile_00_Date_20240603.tif,0,0
24,ImgROI_1021_Tile_00_Date_20240603.tif,0,0
25,ImgROI_1022_Tile_00_Date_20240603.tif,79,73125
26,ImgROI_1023_Tile_00_Date_20240603.tif,39,21902
27,ImgROI_1024_Tile_00_Date_20240603.tif,221,220778
28,ImgROI_1025_Tile_00_Date_20240603.tif,119,271247
29,ImgROI_1026_Tile_00_Date_20240603.tif,15,4234
30,ImgROI_1027_Tile_00_Date_20240603.tif,18,7446
31,ImgROI_1028_Tile_00_Date_20240603.tif,122,374881
32,ImgROI_1029_Tile_00_Date_20240603.tif,67,151355
33,ImgROI_102_Tile_00_Date_20240603.tif,117,551870
34,ImgROI_1030_Tile_00_Date_20240603.tif,189,301319
35,ImgROI_1031_Tile_00_Date_20240603.tif,0,0
36,ImgROI_1032_Tile_00_Date_20240603.tif,30,18852
37,ImgROI_1033_Tile_00_Date_20240603.tif,0,0
38,ImgROI_1034_Tile_00_Date_20240603.tif,135,142982
39,ImgROI_1035_Tile_00_Date_20240603.tif,1,1606
40,ImgROI_1036_Tile_00_Date_20240603.tif,347,542534
41,ImgROI_1037_Tile_00_Date_20240603.tif,209,385950
42,ImgROI_1038_Tile_00_Date_20240603.tif,0,0
43,ImgROI_1039_Tile_00_Date_20240603.tif,37,29855
44,ImgROI_103_Tile_00_Date_20240603.tif,59,495645
45,ImgROI_1040_Tile_00_Date_20240603.tif,152,139796
46,ImgROI_1041_Tile_00_Date_20240603.tif,592,533993
47,ImgROI_1042_Tile_00_Date_20240603.tif,30,12087
48,ImgROI_1043_Tile_00_Date_20240603.tif,45,19695
49,ImgROI_1044_Tile_00_Date_20240603.tif,87,39378
50,ImgROI_1045_Tile_00_Date_20240603.tif,57,34651
51,ImgROI_1046_Tile_00_Date_20240603.tif,11,6862
52,ImgROI_1047_Tile_00_Date_20240603.tif,113,130897
53,ImgROI_1048_Tile_00_Date_20240603.tif,249,355008
54,ImgROI_1049_Tile_00_Date_20240603.tif,152,180412
55,ImgROI_104_Tile_00_Date_20240603.tif,0,0
56,ImgROI_1050_Tile_00_Date_20240603.tif,0,0
57,ImgROI_1051_Tile_00_Date_20240603.tif,7,807
58,ImgROI_1052_Tile_00_Date_20240603.tif,15,1608
59,ImgROI_1053_Tile_00_Date_20240603.tif,289,448958
60,ImgROI_1054_Tile_00_Date_20240603.tif,374,339952
61,ImgROI_1055_Tile_00_Date_20240603.tif,89,73408
62,ImgROI_1056_Tile_00_Date_20240603.tif,11,3267
63,ImgROI_1057_Tile_00_Date_20240603.tif,213,409307
64,ImgROI_1058_Tile_00_Date_20240603.tif,10,4793
65,ImgROI_1059_Tile_00_Date_20240603.tif,399,296461
66,ImgROI_105_Tile_00_Date_20240603.tif,17,342331
67,ImgROI_1060_Tile_00_Date_20240603.tif,110,30021
68,ImgROI_1061_Tile_00_Date_20240603.tif,25,35014
69,ImgROI_1062_Tile_00_Date_20240603.tif,686,271791
70,ImgROI_1063_Tile_00_Date_20240603.tif,20,2372
71,ImgROI_1064_Tile_00_Date_20240603.tif,122,174580
72,ImgROI_1065_Tile_00_Date_20240603.tif,106,164623
73,ImgROI_1066_Tile_00_Date_20240603.tif,36,25637
