,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,75,42383
1,ImgROI_1000_Tile_00_Date_20240603.tif,18,19682
2,ImgROI_1001_Tile_00_Date_20240603.tif,26,270096
3,ImgROI_1002_Tile_00_Date_20240603.tif,14,7113
4,ImgROI_1003_Tile_00_Date_20240603.tif,49,84935
5,ImgROI_1004_Tile_00_Date_20240603.tif,22,264137
6,ImgROI_1005_Tile_00_Date_20240603.tif,35,269685
7,ImgROI_1006_Tile_00_Date_20240603.tif,10,46106
8,ImgROI_1007_Tile_00_Date_20240603.tif,39,53178
9,ImgROI_1008_Tile_00_Date_20240603.tif,34,65941
10,ImgROI_1009_Tile_00_Date_20240603.tif,48,44135
11,ImgROI_100_Tile_00_Date_20240603.tif,217,230368
12,ImgROI_1010_Tile_00_Date_20240603.tif,43,348879
13,ImgROI_1011_Tile_00_Date_20240603.tif,3,656
14,ImgROI_1012_Tile_00_Date_20240603.tif,24,23443
15,ImgROI_1013_Tile_00_Date_20240603.tif,10,21874
16,ImgROI_1014_Tile_00_Date_20240603.tif,40,59321
17,ImgROI_1015_Tile_00_Date_20240603.tif,94,219782
18,ImgROI_1016_Tile_00_Date_20240603.tif,67,151140
19,ImgROI_1017_Tile_00_Date_20240603.tif,130,340313
20,ImgROI_1018_Tile_00_Date_20240603.tif,4,3525
21,ImgROI_1019_Tile_00_Date_20240603.tif,59,127016
22,ImgROI_101_Tile_00_Date_20240603.tif,45,11324
23,ImgROI_1020_Tile_00_Date_20240603.tif,28,22924
24,ImgROI_1021_Tile_00_Date_20240603.tif,83,51024
25,ImgROI_1022_Tile_00_Date_20240603.tif,168,174126
26,ImgROI_1023_Tile_00_Date_20240603.tif,162,178356
27,ImgROI_1024_Tile_00_Date_20240603.tif,308,290572
28,ImgROI_1025_Tile_00_Date_20240603.tif,105,264553
29,ImgROI_1026_Tile_00_Date_20240603.tif,16,23010
30,ImgROI_1027_Tile_00_Date_20240603.tif,59,90513
31,ImgROI_1028_Tile_00_Date_20240603.tif,134,366979
32,ImgROI_1029_Tile_00_Date_20240603.tif,76,179098
33,ImgROI_102_Tile_00_Date_20240603.tif,188,222282
34,ImgROI_1030_Tile_00_Date_20240603.tif,208,330089
35,ImgROI_1031_Tile_00_Date_20240603.tif,8,2431
36,ImgROI_1032_Tile_00_Date_20240603.tif,21,39002
37,ImgROI_1033_Tile_00_Date_20240603.tif,44,32030
38,ImgROI_1034_Tile_00_Date_20240603.tif,164,193011
39,ImgROI_1035_Tile_00_Date_20240603.tif,20,51788
40,ImgROI_1036_Tile_00_Date_20240603.tif,426,315390
41,ImgROI_1037_Tile_00_Date_20240603.tif,385,278910
42,ImgROI_1038_Tile_00_Date_20240603.tif,283,178926
43,ImgROI_1039_Tile_00_Date_20240603.tif,151,103856
44,ImgROI_103_Tile_00_Date_20240603.tif,177,241730
45,ImgROI_1040_Tile_00_Date_20240603.tif,378,158541
46,ImgROI_1041_Tile_00_Date_20240603.tif,763,340084
47,ImgROI_1042_Tile_00_Date_20240603.tif,128,56690
48,ImgROI_1043_Tile_00_Date_20240603.tif,463,204205
49,ImgROI_1044_Tile_00_Date_20240603.tif,183,184061
50,ImgROI_1045_Tile_00_Date_20240603.tif,29,51252
51,ImgROI_1046_Tile_00_Date_20240603.tif,92,69793
52,ImgROI_1047_Tile_00_Date_20240603.tif,165,175266
53,ImgROI_1048_Tile_00_Date_20240603.tif,317,394145
54,ImgROI_1049_Tile_00_Date_20240603.tif,226,256272
55,ImgROI_104_Tile_00_Date_20240603.tif,81,22524
56,ImgROI_1050_Tile_00_Date_20240603.tif,18,1882
57,ImgROI_1051_Tile_00_Date_20240603.tif,75,50525
58,ImgROI_1052_Tile_00_Date_20240603.tif,136,95852
59,ImgROI_1053_Tile_00_Date_20240603.tif,385,292968
60,ImgROI_1054_Tile_00_Date_20240603.tif,479,385258
61,ImgROI_1055_Tile_00_Date_20240603.tif,173,111569
62,ImgROI_1056_Tile_00_Date_20240603.tif,93,104016
63,ImgROI_1057_Tile_00_Date_20240603.tif,412,287239
64,ImgROI_1058_Tile_00_Date_20240603.tif,12,5832
65,ImgROI_1059_Tile_00_Date_20240603.tif,574,369811
66,ImgROI_105_Tile_00_Date_20240603.tif,49,324838
67,ImgROI_1060_Tile_00_Date_20240603.tif,129,33061
68,ImgROI_1061_Tile_00_Date_20240603.tif,400,152843
69,ImgROI_1062_Tile_00_Date_20240603.tif,781,293865
70,ImgROI_1063_Tile_00_Date_20240603.tif,490,158812
71,ImgROI_1064_Tile_00_Date_20240603.tif,272,173136
72,ImgROI_1065_Tile_00_Date_20240603.tif,157,209331
73,ImgROI_1066_Tile_00_Date_20240603.tif,5,521
74,ImgROI_1067_Tile_00_Date_20240603.tif,37,51549
75,ImgROI_1068_Tile_00_Date_20240603.tif,65,84911
76,ImgROI_1069_Tile_00_Date_20240603.tif,221,359426
77,ImgROI_106_Tile_00_Date_20240603.tif,20,262613
78,ImgROI_1070_Tile_00_Date_20240603.tif,310,114582
79,ImgROI_1071_Tile_00_Date_20240603.tif,241,126648
80,ImgROI_1072_Tile_00_Date_20240603.tif,86,58962
81,ImgROI_1073_Tile_00_Date_20240603.tif,43,39688
82,ImgROI_1074_Tile_00_Date_20240603.tif,498,321171
83,ImgROI_1075_Tile_00_Date_20240603.tif,260,186175
84,ImgROI_1076_Tile_00_Date_20240603.tif,373,244663
85,ImgROI_1077_Tile_00_Date_20240603.tif,465,304977
86,ImgROI_1078_Tile_00_Date_20240603.tif,17,3818
87,ImgROI_1079_Tile_00_Date_20240603.tif,200,130830
88,ImgROI_107_Tile_00_Date_20240603.tif,86,52346
89,ImgROI_1080_Tile_00_Date_20240603.tif,21,18278
90,ImgROI_1081_Tile_00_Date_20240603.tif,210,86611
91,ImgROI_1082_Tile_00_Date_20240603.tif,531,433033
92,ImgROI_1083_Tile_00_Date_20240603.tif,285,76820
93,ImgROI_1084_Tile_00_Date_20240603.tif,152,78996
94,ImgROI_1085_Tile_00_Date_20240603.tif,43,364935
95,ImgROI_1086_Tile_00_Date_20240603.tif,15,3721
96,ImgROI_1087_Tile_00_Date_20240603.tif,56,268969
97,ImgROI_1088_Tile_00_Date_20240603.tif,0,0
98,ImgROI_1089_Tile_00_Date_20240603.tif,115,39455
99,ImgROI_108_Tile_00_Date_20240603.tif,17,5471
100,ImgROI_1090_Tile_00_Date_20240603.tif,190,299836
101,ImgROI_1091_Tile_00_Date_20240603.tif,98,15895
102,ImgROI_1092_Tile_00_Date_20240603.tif,219,73070
103,ImgROI_1093_Tile_00_Date_20240603.tif,93,390060
104,ImgROI_1094_Tile_00_Date_20240603.tif,291,342534
105,ImgROI_1095_Tile_00_Date_20240603.tif,233,263231
106,ImgROI_1096_Tile_00_Date_20240603.tif,115,58435
107,ImgROI_1097_Tile_00_Date_20240603.tif,116,58399
108,ImgROI_1098_Tile_00_Date_20240603.tif,72,42375
109,ImgROI_1099_Tile_00_Date_20240603.tif,33,126087
110,ImgROI_109_Tile_00_Date_20240603.tif,46,303313
111,ImgROI_10_Tile_00_Date_20240603.tif,11,1347
112,ImgROI_1100_Tile_00_Date_20240603.tif,273,204098
113,ImgROI_1101_Tile_00_Date_20240603.tif,93,105768
114,ImgROI_1102_Tile_00_Date_20240603.tif,119,248764
115,ImgROI_1103_Tile_00_Date_20240603.tif,89,28595
116,ImgROI_1104_Tile_00_Date_20240603.tif,5,1552
117,ImgROI_1105_Tile_00_Date_20240603.tif,37,17726
118,ImgROI_1106_Tile_00_Date_20240603.tif,4,487
119,ImgROI_1107_Tile_00_Date_20240603.tif,7,341074
120,ImgROI_1108_Tile_00_Date_20240603.tif,6,258568
121,ImgROI_1109_Tile_00_Date_20240603.tif,1,170
122,ImgROI_110_Tile_00_Date_20240603.tif,3,470
123,ImgROI_1110_Tile_00_Date_20240603.tif,4,515
124,ImgROI_1111_Tile_00_Date_20240603.tif,226,345447
125,ImgROI_1112_Tile_00_Date_20240603.tif,234,124650
126,ImgROI_1113_Tile_00_Date_20240603.tif,5,37317
127,ImgROI_1114_Tile_00_Date_20240603.tif,51,91564
128,ImgROI_1115_Tile_00_Date_20240603.tif,74,299230
129,ImgROI_1116_Tile_00_Date_20240603.tif,44,26357
130,ImgROI_1117_Tile_00_Date_20240603.tif,15,2422
131,ImgROI_1118_Tile_00_Date_20240603.tif,3,55
132,ImgROI_1119_Tile_00_Date_20240603.tif,55,131032
133,ImgROI_111_Tile_00_Date_20240603.tif,54,263059
134,ImgROI_1120_Tile_00_Date_20240603.tif,107,333443
135,ImgROI_1121_Tile_00_Date_20240603.tif,123,351255
136,ImgROI_1122_Tile_00_Date_20240603.tif,100,67240
137,ImgROI_1123_Tile_00_Date_20240603.tif,4,2808
138,ImgROI_1124_Tile_00_Date_20240603.tif,4,2521
139,ImgROI_1125_Tile_00_Date_20240603.tif,174,427847
140,ImgROI_1126_Tile_00_Date_20240603.tif,195,145925
141,ImgROI_1127_Tile_00_Date_20240603.tif,32,88864
142,ImgROI_1128_Tile_00_Date_20240603.tif,11,6361
143,ImgROI_1129_Tile_00_Date_20240603.tif,143,100720
144,ImgROI_112_Tile_00_Date_20240603.tif,284,357134
145,ImgROI_1130_Tile_00_Date_20240603.tif,16,27366
146,ImgROI_1131_Tile_00_Date_20240603.tif,165,222157
147,ImgROI_1132_Tile_00_Date_20240603.tif,19,19899
148,ImgROI_1133_Tile_00_Date_20240603.tif,220,337713
149,ImgROI_1134_Tile_00_Date_20240603.tif,88,83674
150,ImgROI_1135_Tile_00_Date_20240603.tif,114,50202
151,ImgROI_1136_Tile_00_Date_20240603.tif,62,22934
152,ImgROI_1137_Tile_00_Date_20240603.tif,0,0
153,ImgROI_1138_Tile_00_Date_20240603.tif,55,26223
154,ImgROI_1139_Tile_00_Date_20240603.tif,74,292027
155,ImgROI_113_Tile_00_Date_20240603.tif,92,84650
156,ImgROI_1140_Tile_00_Date_20240603.tif,0,0
157,ImgROI_1141_Tile_00_Date_20240603.tif,85,54950
158,ImgROI_1142_Tile_00_Date_20240603.tif,44,17653
159,ImgROI_1143_Tile_00_Date_20240603.tif,51,28631
160,ImgROI_1144_Tile_00_Date_20240603.tif,97,392492
161,ImgROI_1145_Tile_00_Date_20240603.tif,175,69156
162,ImgROI_1146_Tile_00_Date_20240603.tif,182,62546
163,ImgROI_1147_Tile_00_Date_20240603.tif,7,2226
164,ImgROI_1148_Tile_00_Date_20240603.tif,338,334806
165,ImgROI_1149_Tile_00_Date_20240603.tif,215,56477
166,ImgROI_114_Tile_00_Date_20240603.tif,98,87660
