,img_name,total_objects,total_area
0,ImgROI_0_Tile_00_Date_20240603.tif,45,32703
1,ImgROI_1000_Tile_00_Date_20240603.tif,18,22581
2,ImgROI_1001_Tile_00_Date_20240603.tif,29,272295
3,ImgROI_1002_Tile_00_Date_20240603.tif,20,16198
4,ImgROI_1003_Tile_00_Date_20240603.tif,38,144348
5,ImgROI_1004_Tile_00_Date_20240603.tif,25,266576
6,ImgROI_1005_Tile_00_Date_20240603.tif,35,269685
7,ImgROI_1006_Tile_00_Date_20240603.tif,16,47513
8,ImgROI_1007_Tile_00_Date_20240603.tif,66,84405
9,ImgROI_1008_Tile_00_Date_20240603.tif,53,66663
10,ImgROI_1009_Tile_00_Date_20240603.tif,69,71575
11,ImgROI_100_Tile_00_Date_20240603.tif,201,223743
12,ImgROI_1010_Tile_00_Date_20240603.tif,43,348879
13,ImgROI_1011_Tile_00_Date_20240603.tif,1,176
14,ImgROI_1012_Tile_00_Date_20240603.tif,49,68471
15,ImgROI_1013_Tile_00_Date_20240603.tif,8,20944
16,ImgROI_1014_Tile_00_Date_20240603.tif,54,100914
17,ImgROI_1015_Tile_00_Date_20240603.tif,97,241795
18,ImgROI_1016_Tile_00_Date_20240603.tif,67,148682
19,ImgROI_1017_Tile_00_Date_20240603.tif,130,340313
20,ImgROI_1018_Tile_00_Date_20240603.tif,1,381
21,ImgROI_1019_Tile_00_Date_20240603.tif,59,283326
22,ImgROI_101_Tile_00_Date_20240603.tif,63,29409
23,ImgROI_1020_Tile_00_Date_20240603.tif,33,25218
24,ImgROI_1021_Tile_00_Date_20240603.tif,80,164633
25,ImgROI_1022_Tile_00_Date_20240603.tif,185,177762
26,ImgROI_1023_Tile_00_Date_20240603.tif,153,195688
27,ImgROI_1024_Tile_00_Date_20240603.tif,308,292592
28,ImgROI_1025_Tile_00_Date_20240603.tif,113,282411
29,ImgROI_1026_Tile_00_Date_20240603.tif,16,21873
30,ImgROI_1027_Tile_00_Date_20240603.tif,78,110541
31,ImgROI_1028_Tile_00_Date_20240603.tif,134,366979
32,ImgROI_1029_Tile_00_Date_20240603.tif,75,179075
33,ImgROI_102_Tile_00_Date_20240603.tif,188,222282
34,ImgROI_1030_Tile_00_Date_20240603.tif,208,330165
35,ImgROI_1031_Tile_00_Date_20240603.tif,25,36669
36,ImgROI_1032_Tile_00_Date_20240603.tif,31,44282
37,ImgROI_1033_Tile_00_Date_20240603.tif,44,68336
38,ImgROI_1034_Tile_00_Date_20240603.tif,160,156770
39,ImgROI_1035_Tile_00_Date_20240603.tif,30,16009
40,ImgROI_1036_Tile_00_Date_20240603.tif,423,312065
41,ImgROI_1037_Tile_00_Date_20240603.tif,373,514898
42,ImgROI_1038_Tile_00_Date_20240603.tif,257,377667
43,ImgROI_1039_Tile_00_Date_20240603.tif,176,106302
44,ImgROI_103_Tile_00_Date_20240603.tif,179,246818
45,ImgROI_1040_Tile_00_Date_20240603.tif,390,161338
46,ImgROI_1041_Tile_00_Date_20240603.tif,773,339905
47,ImgROI_1042_Tile_00_Date_20240603.tif,125,244225
48,ImgROI_1043_Tile_00_Date_20240603.tif,466,207788
49,ImgROI_1044_Tile_00_Date_20240603.tif,161,161848
50,ImgROI_1045_Tile_00_Date_20240603.tif,52,89859
51,ImgROI_1046_Tile_00_Date_20240603.tif,103,156788
52,ImgROI_1047_Tile_00_Date_20240603.tif,157,228194
53,ImgROI_1048_Tile_00_Date_20240603.tif,317,394145
54,ImgROI_1049_Tile_00_Date_20240603.tif,217,440904
55,ImgROI_104_Tile_00_Date_20240603.tif,145,88192
56,ImgROI_1050_Tile_00_Date_20240603.tif,16,31307
57,ImgROI_1051_Tile_00_Date_20240603.tif,83,55352
58,ImgROI_1052_Tile_00_Date_20240603.tif,148,246062
59,ImgROI_1053_Tile_00_Date_20240603.tif,378,293407
60,ImgROI_1054_Tile_00_Date_20240603.tif,479,388898
61,ImgROI_1055_Tile_00_Date_20240603.tif,165,118364
62,ImgROI_1056_Tile_00_Date_20240603.tif,109,141724
63,ImgROI_1057_Tile_00_Date_20240603.tif,401,304732
64,ImgROI_1058_Tile_00_Date_20240603.tif,25,23285
65,ImgROI_1059_Tile_00_Date_20240603.tif,575,370068
66,ImgROI_105_Tile_00_Date_20240603.tif,49,324838
67,ImgROI_1060_Tile_00_Date_20240603.tif,108,107321
68,ImgROI_1061_Tile_00_Date_20240603.tif,468,225590
69,ImgROI_1062_Tile_00_Date_20240603.tif,803,301167
70,ImgROI_1063_Tile_00_Date_20240603.tif,472,170031
71,ImgROI_1064_Tile_00_Date_20240603.tif,245,95219
72,ImgROI_1065_Tile_00_Date_20240603.tif,156,433937
73,ImgROI_1066_Tile_00_Date_20240603.tif,41,57946
74,ImgROI_1067_Tile_00_Date_20240603.tif,42,76234
75,ImgROI_1068_Tile_00_Date_20240603.tif,65,84854
76,ImgROI_1069_Tile_00_Date_20240603.tif,221,359380
77,ImgROI_106_Tile_00_Date_20240603.tif,62,335598
78,ImgROI_1070_Tile_00_Date_20240603.tif,332,132417
79,ImgROI_1071_Tile_00_Date_20240603.tif,205,124455
80,ImgROI_1072_Tile_00_Date_20240603.tif,61,63404
81,ImgROI_1073_Tile_00_Date_20240603.tif,121,35515
82,ImgROI_1074_Tile_00_Date_20240603.tif,501,321933
83,ImgROI_1075_Tile_00_Date_20240603.tif,259,182898
84,ImgROI_1076_Tile_00_Date_20240603.tif,366,244090
85,ImgROI_1077_Tile_00_Date_20240603.tif,466,304191
86,ImgROI_1078_Tile_00_Date_20240603.tif,9,4389
87,ImgROI_1079_Tile_00_Date_20240603.tif,206,168680
88,ImgROI_107_Tile_00_Date_20240603.tif,78,55800
89,ImgROI_1080_Tile_00_Date_20240603.tif,8,1470
90,ImgROI_1081_Tile_00_Date_20240603.tif,165,100927
91,ImgROI_1082_Tile_00_Date_20240603.tif,534,434003
92,ImgROI_1083_Tile_00_Date_20240603.tif,292,78695
93,ImgROI_1084_Tile_00_Date_20240603.tif,146,78879
94,ImgROI_1085_Tile_00_Date_20240603.tif,43,364935
95,ImgROI_1086_Tile_00_Date_20240603.tif,6,3452
96,ImgROI_1087_Tile_00_Date_20240603.tif,57,279420
97,ImgROI_1088_Tile_00_Date_20240603.tif,7,16674
98,ImgROI_1089_Tile_00_Date_20240603.tif,108,57734
99,ImgROI_108_Tile_00_Date_20240603.tif,16,5176
100,ImgROI_1090_Tile_00_Date_20240603.tif,190,299836
101,ImgROI_1091_Tile_00_Date_20240603.tif,102,16302
102,ImgROI_1092_Tile_00_Date_20240603.tif,220,73060
103,ImgROI_1093_Tile_00_Date_20240603.tif,92,393880
104,ImgROI_1094_Tile_00_Date_20240603.tif,296,315205
105,ImgROI_1095_Tile_00_Date_20240603.tif,233,263231
106,ImgROI_1096_Tile_00_Date_20240603.tif,124,56189
107,ImgROI_1097_Tile_00_Date_20240603.tif,127,59116
108,ImgROI_1098_Tile_00_Date_20240603.tif,65,45165
109,ImgROI_1099_Tile_00_Date_20240603.tif,54,58625
110,ImgROI_109_Tile_00_Date_20240603.tif,40,273053
111,ImgROI_10_Tile_00_Date_20240603.tif,10,2430
112,ImgROI_1100_Tile_00_Date_20240603.tif,269,202552
113,ImgROI_1101_Tile_00_Date_20240603.tif,85,161448
114,ImgROI_1102_Tile_00_Date_20240603.tif,102,251179
115,ImgROI_1103_Tile_00_Date_20240603.tif,88,25665
116,ImgROI_1104_Tile_00_Date_20240603.tif,4,1218
117,ImgROI_1105_Tile_00_Date_20240603.tif,34,119267
118,ImgROI_1106_Tile_00_Date_20240603.tif,5,54969
119,ImgROI_1107_Tile_00_Date_20240603.tif,11,345567
120,ImgROI_1108_Tile_00_Date_20240603.tif,6,258568
121,ImgROI_1109_Tile_00_Date_20240603.tif,4,49851
122,ImgROI_110_Tile_00_Date_20240603.tif,9,8266
123,ImgROI_1110_Tile_00_Date_20240603.tif,7,11832
124,ImgROI_1111_Tile_00_Date_20240603.tif,226,345447
125,ImgROI_1112_Tile_00_Date_20240603.tif,235,125645
126,ImgROI_1113_Tile_00_Date_20240603.tif,13,1741
127,ImgROI_1114_Tile_00_Date_20240603.tif,76,25564
128,ImgROI_1115_Tile_00_Date_20240603.tif,75,299615
129,ImgROI_1116_Tile_00_Date_20240603.tif,39,63066
130,ImgROI_1117_Tile_00_Date_20240603.tif,16,2088
131,ImgROI_1118_Tile_00_Date_20240603.tif,32,56723
132,ImgROI_1119_Tile_00_Date_20240603.tif,60,371029
133,ImgROI_111_Tile_00_Date_20240603.tif,258,140247
134,ImgROI_1120_Tile_00_Date_20240603.tif,99,312225
135,ImgROI_1121_Tile_00_Date_20240603.tif,123,351255
136,ImgROI_1122_Tile_00_Date_20240603.tif,87,242622
137,ImgROI_1123_Tile_00_Date_20240603.tif,32,11632
138,ImgROI_1124_Tile_00_Date_20240603.tif,9,15584
139,ImgROI_1125_Tile_00_Date_20240603.tif,174,427847
140,ImgROI_1126_Tile_00_Date_20240603.tif,195,134167
141,ImgROI_1127_Tile_00_Date_20240603.tif,39,79789
142,ImgROI_1128_Tile_00_Date_20240603.tif,54,102979
143,ImgROI_1129_Tile_00_Date_20240603.tif,128,91074
144,ImgROI_112_Tile_00_Date_20240603.tif,194,123896
145,ImgROI_1130_Tile_00_Date_20240603.tif,34,133956
146,ImgROI_1131_Tile_00_Date_20240603.tif,165,240084
147,ImgROI_1132_Tile_00_Date_20240603.tif,27,70218
148,ImgROI_1133_Tile_00_Date_20240603.tif,219,337553
149,ImgROI_1134_Tile_00_Date_20240603.tif,69,218861
150,ImgROI_1135_Tile_00_Date_20240603.tif,116,51882
151,ImgROI_1136_Tile_00_Date_20240603.tif,51,18800
152,ImgROI_1137_Tile_00_Date_20240603.tif,0,0
153,ImgROI_1138_Tile_00_Date_20240603.tif,45,17381
154,ImgROI_1139_Tile_00_Date_20240603.tif,74,292027
155,ImgROI_113_Tile_00_Date_20240603.tif,55,232787
156,ImgROI_1140_Tile_00_Date_20240603.tif,16,15924
157,ImgROI_1141_Tile_00_Date_20240603.tif,68,263166
158,ImgROI_1142_Tile_00_Date_20240603.tif,52,34593
159,ImgROI_1143_Tile_00_Date_20240603.tif,38,40641
160,ImgROI_1144_Tile_00_Date_20240603.tif,97,392492
161,ImgROI_1145_Tile_00_Date_20240603.tif,167,61145
162,ImgROI_1146_Tile_00_Date_20240603.tif,131,65720
163,ImgROI_1147_Tile_00_Date_20240603.tif,56,61366
164,ImgROI_1148_Tile_00_Date_20240603.tif,338,334806
165,ImgROI_1149_Tile_00_Date_20240603.tif,222,58267
166,ImgROI_114_Tile_00_Date_20240603.tif,54,232701
167,ImgROI_1150_Tile_00_Date_20240603.tif,360,455214
168,ImgROI_1151_Tile_00_Date_20240603.tif,4,2305
169,ImgROI_1152_Tile_00_Date_20240603.tif,12,7727
170,ImgROI_1153_Tile_00_Date_20240603.tif,98,72143
171,ImgROI_1154_Tile_00_Date_20240603.tif,378,369204
172,ImgROI_1155_Tile_00_Date_20240603.tif,258,335328
173,ImgROI_1156_Tile_00_Date_20240603.tif,267,360949
174,ImgROI_1157_Tile_00_Date_20240603.tif,92,24798
